r,g,b,language,chatgpt,gemini
240,68,12,english,orange,Orange
174,49,184,english,pink,Purple
143,161,147,english,light blue,Sage green
63,198,15,english,green,Lime green
114,64,254,english,pink,Violet
189,105,234,english,pink,Purple
6,91,94,english,blue-gray,Teal
43,238,115,english,green,Lime green
122,244,125,english,turquoise,Lime green
64,23,21,english,light pink,Oxblood
183,183,237,english,blue,Lavender
253,39,153,english,pink,Hot pink
145,228,135,english,mint green,Lime green
138,20,176,english,pink,Purple
164,249,2,english,lime,Lime green
140,177,147,english,pink,Sage green
153,152,159,english,dark gray,Medium gray
90,243,189,english,turquoise,Aquamarine
86,218,89,english,mint green,Lime green
249,185,95,english,orange,Peach
249,158,87,english,orange,Apricot
151,179,229,english,powder blue,Cornflower blue
216,243,116,english,peach,Chartreuse
174,123,169,english,light blue,Mauve
102,119,117,english,light gray,Slate Grey
97,81,74,english,light blue,Taupe
249,75,215,english,pink,Fuchsia
225,217,250,english,lavender,Lavender
14,37,42,english,orange,Dark Teal
38,180,176,english,cyan,Teal
88,34,8,english,red,Mahogany
187,4,93,english,pink,Fuchsia
64,195,162,english,cyan,Teal
214,200,216,english,light blue,Lavender
113,250,197,english,pink,Mint green
106,17,180,english,purple,Purple
242,252,68,english,yellow,Yellow
76,214,154,english,mint green,Mint green
105,236,174,english,mint green,Mint green
242,117,160,english,pink,Pink
0,138,145,english,cyan,Teal
82,51,248,english,blue,Violet
21,90,221,english,blue,Blue
94,147,203,english,blue,Carolina blue
47,46,87,english,light blue,Indigo
134,237,217,english,cyan,Aqua
160,247,110,english,mint green,Lime green
100,205,128,english,light blue,Green
9,196,219,english,blue,Deep Sky Blue
175,96,52,english,orange,Terracotta
134,113,91,english,light gray,Taupe
187,215,120,english,light cyan,Pear green
244,200,189,english,light gray,Peach
217,59,57,english,pink,Red
41,221,22,english,lime green,Lime green
180,128,216,english,pink,Lavender
64,43,210,english,blue,Blue-violet
31,50,36,english,red,Dark green
238,123,24,english,orange,Orange
75,231,203,english,light blue,Turquoise
146,52,74,english,pink,Burgundy
169,181,66,english,peach,Pea green
20,195,181,english,light blue,Turquoise
55,235,29,english,lime green,Lime green
164,21,94,english,pink,Magenta
112,218,158,english,turquoise,Mint green
190,44,218,english,pink,Purple
210,121,180,english,pink,Orchid
86,86,192,english,light blue,Blue Violet
249,60,15,english,orange,Orangered
143,156,248,english,light blue,Periwinkle
198,73,31,english,orange,Burnt orange
7,153,139,english,pink,Teal
140,140,115,english,gray,Olive
87,237,215,english,light blue,Turquoise
29,98,110,english,blue,Teal
136,39,31,english,pink,Maroon
79,209,150,english,pale turquoise,Medium Sea Green
247,196,24,english,yellow,Yellow
243,175,28,english,orange,Orange
214,225,175,english,slate gray,Pistachio
143,220,215,english,turquoise,Pale Turquoise
108,113,118,english,dark gray,Slate Grey
57,95,217,english,blue,Royal blue
156,139,253,english,light blue,Lavender
143,255,47,english,lime green,Lime green
40,32,159,english,light blue,Royal Blue
183,124,105,english,light pink,Terracotta
179,59,32,english,red,Rust
26,73,71,english,red,Deep Teal
202,253,104,english,mint green,Lime green
220,116,185,english,pink,Orchid
247,140,169,english,pink,Pink
238,3,189,english,magenta,Magenta
67,18,253,english,red,Royal Blue
58,224,129,english,teal,Lime green
211,213,175,english,pink,Pistachio
116,37,165,english,pink,Purple
227,245,85,english,chartreuse,Chartreuse
117,77,202,english,pink,Purple
