r,g,b,lang_code,human_raw,human_norm,human_min
79,124,47,en,army green,army green,armygreen
14,205,135,en,turquoise,turquoise,turquoise
223,129,204,en,light purple,light purple,lightpurple
213,188,88,en,tan,tan,tan
146,88,169,en,purple,purple,purple
152,20,89,en,Fushia,fushia,fuchsia
208,159,148,en,Pink,pink,pink
254,239,221,en,white,white,white
139,215,46,en,green,green,green
141,221,196,en,light blue,light blue,lightblue
47,240,229,en,sea blue,sea blue,seablue
87,50,110,en,purple,purple,purple
241,44,139,en,Fushia,fushia,fuchsia
25,234,79,en,green,green,green
199,198,228,en,light blue,light blue,lightblue
135,249,135,en,mint green,mint green,mintgreen
242,39,102,en,pink,pink,pink
203,253,52,en,yellow,yellow,yellow
168,83,90,en,purple,purple,purple
16,154,148,en,turquois,turquois,turquoise
60,251,10,en,green,green,green
61,178,72,en,mint green,mint green,mintgreen
147,253,35,en,pea green,pea green,peagreen
191,30,14,en,brick red,brick red,brickred
150,12,195,en,purple,purple,purple
147,2,120,en,purple,purple,purple
223,12,137,en,purple,purple,purple
72,180,30,en,green,green,green
218,87,242,en,purple,purple,purple
116,230,52,en,green,green,green
216,205,32,en,yellow,yellow,yellow
31,7,53,en,bluee,bluee,bluee
213,21,39,en,red,red,red
222,17,81,en,pink,pink,pink
238,183,48,en,yellow,yellow,yellow
83,38,110,en,blue,blue,blue
252,208,22,en,orange yellow,orange yellow,orangeyellow
197,221,6,en,yellow green,yellow green,yellowgreen
145,89,109,en,purple,purple,purple
219,140,62,en,brown,brown,brown
98,73,3,en,brown,brown,brown
36,168,48,en,green,green,green
134,3,179,en,blue purple,blue purple,bluepurple
197,54,146,en,purple,purple,purple
198,35,70,en,magenta,magenta,magenta
213,115,180,en,light purple,light purple,lightpurple
70,19,92,en,indigo,indigo,indigo
51,18,10,en,dark brown,dark brown,darkbrown
181,36,133,en,purple,purple,purple
234,50,137,en,pink,pink,pink
219,116,88,en,salmon,salmon,salmon
125,101,16,en,tree bark,tree bark,treebark
150,222,79,en,olive,olive,olive
73,203,38,en,green,green,green
63,33,22,en,brown,brown,brown
50,156,234,en,light blue,light blue,lightblue
233,166,238,en,violet,violet,violet
82,188,78,en,evergreen,evergreen,evergreen
3,75,85,en,teal,teal,teal
39,99,163,en,blue,blue,blue
145,90,93,en,purple,purple,purple
87,92,189,en,blue,blue,blue
131,229,177,en,green,green,green
217,135,89,en,brown,brown,brown
254,226,227,en,pink,pink,pink
80,161,127,en,green,green,green
217,105,33,en,brown,brown,brown
239,52,11,en,red,red,red
202,196,106,en,green,green,green
140,129,112,en,grey,grey,gray
136,7,44,en,purple,purple,purple
16,117,14,en,green,green,green
243,219,178,en,peach,peach,peach
159,229,50,en,light green,light green,lightgreen
80,26,250,en,blue,blue,blue
13,243,15,en,neon green,neon green,neongreen
40,1,123,en,dark blue,dark blue,darkblue
235,251,187,en,cream,cream,cream
71,46,10,en,brown,brown,brown
191,83,144,en,purple,purple,purple
205,171,207,en,light purple,light purple,lightpurple
48,71,6,en,dark green,dark green,darkgreen
215,140,11,en,orange,orange,orange
91,167,139,en,teal,teal,teal
40,161,197,en,grayish blue,grayish blue,grayishblue
53,194,141,en,turquise,turquise,turquoise
129,158,90,en,camo green,camo green,camogreen
115,26,53,en,red brown,red brown,redbrown
125,6,24,en,maroon,maroon,maroon
44,8,156,en,dark blue,dark blue,darkblue
190,63,44,en,dark red orange,dark red orange,darkredorange
130,223,92,en,light green,light green,lightgreen
36,93,246,en,blue,blue,blue
102,86,136,en,purple,purple,purple
69,202,24,en,lime green,lime green,limegreen
185,243,210,en,baby blue,baby blue,babyblue
45,6,122,en,blue,blue,blue
117,207,217,en,blue,blue,blue
216,15,172,en,purple,purple,purple
191,150,174,en,purple,purple,purple
15,134,146,en,blue,blue,blue
135,35,80,en,purple,purple,purple
20,150,233,en,blue,blue,blue
115,48,156,en,purple,purple,purple
37,53,226,en,blue,blue,blue
224,180,134,en,brown,brown,brown
52,76,33,en,green,green,green
43,155,204,en,blue,blue,blue
44,207,244,en,light blue,light blue,lightblue
174,180,55,en,dark yellow,dark yellow,darkyellow
32,214,145,en,mint green,mint green,mintgreen
102,60,213,en,purple,purple,purple
255,215,125,en,peach,peach,peach
243,93,141,en,pink,pink,pink
23,194,13,en,green,green,green
157,215,218,en,light blue,light blue,lightblue
18,119,225,en,blue,blue,blue
55,31,85,en,dark purple,dark purple,darkpurple
167,40,174,en,purple,purple,purple
169,169,254,en,light purple,light purple,lightpurple
212,247,45,en,yellow,yellow,yellow
64,192,202,en,blue,blue,blue
80,171,144,en,teal,teal,teal
208,184,114,en,tan,tan,tan
12,122,254,en,sky blue,sky blue,skyblue
24,248,49,en,bright green,bright green,brightgreen
122,186,78,en,grass green,grass green,grassgreen
80,11,16,en,maroon,maroon,maroon
65,41,140,en,purple,purple,purple
252,146,64,en,sand,sand,sand
123,69,119,en,plum,plum,plum
129,33,183,en,purple,purple,purple
111,64,146,en,purple,purple,purple
229,213,50,en,yellow,yellow,yellow
188,159,89,en,brown,brown,brown
236,254,37,en,yellow,yellow,yellow
234,97,57,en,red,red,red
239,92,220,en,pink,pink,pink
59,155,3,en,green,green,green
234,75,254,en,purple,purple,purple
161,46,254,en,purple,purple,purple
176,213,118,en,green,green,green
17,10,186,en,blue,blue,blue
77,251,235,en,light blue,light blue,lightblue
35,68,172,en,dark blue,dark blue,darkblue
113,187,95,en,blueish green,blueish green,blueishgreen
188,193,64,en,green brown,green brown,greenbrown
247,220,195,en,light pink,light pink,lightpink
145,114,197,en,gray blue,gray blue,grayblue
130,175,5,en,green,green,green
160,130,21,en,brown,brown,brown
146,53,143,en,purple,purple,purple
139,145,141,en,gray,gray,gray
238,177,54,en,brown orange,brown orange,brownorange
37,64,248,en,blue,blue,blue
76,54,77,en,dark gray purple,dark gray purple,darkgraypurple
2,179,58,en,green,green,green
112,131,28,en,navy green,navy green,navygreen
138,100,44,en,brown,brown,brown
16,160,170,en,bkue,bkue,bkue
25,36,192,en,dark blue,dark blue,darkblue
79,221,223,en,navy blue,navy blue,navyblue
108,170,124,en,idk,idk,idk
214,48,81,en,idk,idk,idk
243,16,213,en,pink,pink,pink
195,46,251,en,purple,purple,purple
184,192,79,en,yellow,yellow,yellow
140,11,14,en,red,red,red
99,239,165,en,light green,light green,lightgreen
36,77,146,en,dark blue,dark blue,darkblue
236,166,221,en,light purple,light purple,lightpurple
101,224,202,en,light blue,light blue,lightblue
217,74,130,en,dark pink,dark pink,darkpink
88,52,187,en,purple,purple,purple
138,145,207,en,light purple,light purple,lightpurple
72,147,101,en,dark green,dark green,darkgreen
102,101,128,en,dark purple,dark purple,darkpurple
83,178,215,en,blue,blue,blue
27,172,86,en,green,green,green
167,94,183,en,purple,purple,purple
64,84,141,en,navy blue,navy blue,navyblue
52,203,64,en,green,green,green
192,33,249,en,purple,purple,purple
52,12,56,en,plum,plum,plum
72,142,144,en,blue,blue,blue
137,211,41,en,green,green,green
3,143,82,en,teal,teal,teal
42,48,208,en,blue,blue,blue
21,139,210,en,sky blue,sky blue,skyblue
176,163,241,en,lavender,lavender,lavender
119,143,52,en,green,green,green
233,180,89,en,tan,tan,tan
124,39,108,en,purple,purple,purple
215,36,80,en,pink,pink,pink
93,66,156,en,blue,blue,blue
132,181,7,en,green,green,green
157,158,58,en,green,green,green
108,66,90,en,purple,purple,purple
68,103,186,en,blue,blue,blue
192,94,252,en,purple,purple,purple
223,138,119,en,pink,pink,pink
231,187,235,en,purple,purple,purple
157,188,190,en,blue,blue,blue
222,180,52,en,gold,gold,gold
246,241,109,en,yellow,yellow,yellow
32,116,24,en,green,green,green
157,112,42,en,brown,brown,brown
20,190,228,en,blue,blue,blue
30,12,62,en,purple,purple,purple
22,164,42,en,green,green,green
99,58,212,en,purple,purple,purple
208,70,3,en,orange,orange,orange
43,232,91,en,green,green,green
36,56,149,en,blue,blue,blue
118,27,55,en,purple,purple,purple
65,138,228,en,blue,blue,blue
144,102,244,en,purple,purple,purple
43,238,136,en,teel,teel,teal
208,168,203,en,violet,violet,violet
109,48,4,en,brown,brown,brown
16,159,219,en,light blue,light blue,lightblue
156,201,196,en,gray,gray,gray
169,237,98,en,green,green,green
201,4,36,en,red,red,red
7,147,118,en,cyan,cyan,cyan
206,43,240,en,indigo,indigo,indigo
23,91,208,en,dark blue,dark blue,darkblue
191,25,38,en,red,red,red
205,161,135,en,pink,pink,pink
165,203,157,en,teel,teel,teal
93,250,175,en,cyan,cyan,cyan
242,249,85,en,yellow,yellow,yellow
137,135,87,en,grey,grey,gray
100,156,218,en,blue,blue,blue
82,234,103,en,green,green,green
250,129,116,en,pink,pink,pink
209,20,152,en,purple,purple,purple
150,38,54,en,maroon,maroon,maroon
195,83,54,en,orange,orange,orange
174,18,98,en,purple,purple,purple
39,130,248,en,blue,blue,blue
136,178,18,en,green,green,green
228,89,252,en,pink,pink,pink
219,199,131,en,brown,brown,brown
167,191,202,en,blue,blue,blue
12,148,113,en,blue,blue,blue
124,2,243,en,purple,purple,purple
197,108,75,en,red,red,red
96,129,88,en,gray,gray,gray
17,130,174,en,blue,blue,blue
234,136,163,en,pink,pink,pink
