r,g,b,lang_code,human
255,0,48,en,red
255,0,196,en,magenta
255,143,0,en,orange
129,255,0,en,lime green
197,0,255,en,purple
255,32,0,en,red
178,255,0,en,lime green
67,0,255,en,blue
255,89,0,en,red orange
255,239,0,en,yellow
153,0,255,en,purple
249,255,0,en,yellow
255,0,88,en,dark coral
255,0,168,en,pink
255,0,220,en,pink
247,0,255,en,magenta
255,167,0,en,orange
204,255,0,en,neon yellow
255,209,0,en,orange
255,0,133,en,pink
255,0,78,en,red
255,155,0,en,orange
255,113,0,en,dark orange
255,232,0,en,yellow
255,0,153,en,hot pink
188,255,0,en,lime green
255,79,0,en,dark orange
255,0,80,en,red pink
170,0,255,en,purple
239,0,255,en,pink
255,204,0,en,goldenrod
146,0,255,en,purple
255,0,44,en,red
185,255,0,en,lime green
255,139,0,en,orange
255,0,199,en,magenta
255,0,130,en,hot pink
74,0,255,en,midnight blue
255,0,231,en,pink
118,255,0,en,yellow green
255,0,85,en,spicy pink
236,255,0,en,yellow
255,0,130,en,pink
255,0,75,en,dark salmon
255,177,0,en,goldenrod
64,255,0,en,bright green
255,24,0,en,red
255,0,9,en,red
255,0,245,en,fuchsia
184,255,0,en,neon green
92,255,0,en,lime green
255,242,0,en,yellow
255,0,178,en,hot pink
255,199,0,en,yellow/orange
191,255,0,en,neon green
255,115,0,en,orange
156,255,0,en,lime green
255,44,0,en,red
255,0,34,en,scarlet
110,0,255,en,mauve
101,255,0,en,neon green
255,217,0,en,mustard
192,255,0,en,light green
255,105,0,en,orange
255,146,0,en,orange
126,0,255,en,purple
255,0,92,en,dark pink
255,92,0,en,dark orange
238,255,0,en,yellow
255,0,198,en,hot pink
255,0,219,en,dark pink
255,0,97,en,red/pink
181,0,255,en,mauve
50,0,255,en,royal blue
227,255,0,en,marigold
255,185,0,en,dark yellow
255,234,0,en,yellow
168,0,255,en,purple
222,0,255,en,violet
255,0,171,en,magenta
255,0,176,en,bright pink
255,255,0,en,yellow
167,255,0,en,lime green
255,139,0,en,orange
255,0,169,en,hot pink
255,0,67,en,red
232,0,255,en,mauve
255,186,0,en,mustard
255,180,0,en,70's china yellow
255,0,116,en,bright pink
255,77,0,en,red orange
255,253,0,en,yellow
165,255,0,en,light green
219,0,255,en,light purple
255,0,105,en,dark pink
255,0,179,en,pink
125,0,255,en,purple
255,105,0,en,orange
255,225,0,en,yellow
255,165,0,en,orange/yellow
255,129,0,en,orange
255,249,0,en,yellow
211,0,255,en,purple
255,223,0,en,orange
255,42,0,en,red
255,0,191,en,pink
255,0,247,en,violet
250,255,0,en,yellow
255,0,45,en,red
238,0,255,en,cobalt
255,0,63,en,scarlet
255,0,201,en,purple
255,0,133,en,magenta
255,68,0,en,red
162,0,255,en,royal blue
255,111,0,en,orange
255,0,97,en,fuchsia
219,255,0,en,yellow
112,255,0,en,lime green
255,0,233,en,magenta
255,0,101,en,pink
255,76,0,en,orange
255,0,197,en,magenta
166,255,0,en,lime gren
255,0,41,en,red
255,0,189,en,fuschia
73,0,255,en,navy blue
255,189,0,en,orange
255,0,237,en,magenta
155,0,255,en,purple
193,0,255,en,purple
255,103,0,en,orange
255,220,0,en,yellow
229,0,255,en,magenta
255,0,81,en,pink
187,0,255,en,violet
255,245,0,en,bright yellow
255,0,17,en,red
255,0,230,en,fuchsia
68,255,0,en,lime green
244,0,255,en,magenta
83,0,255,en,dark blue
255,155,0,en,burnt orange
255,224,0,en,mustard
255,106,0,en,orange
255,0,78,en,red
67,255,0,en,green
223,255,0,en,yellow
255,175,0,en,light orange
255,0,145,en,pink
255,0,41,en,red
255,98,0,en,red orange
144,0,255,en,purple
255,214,0,en,yellow
255,121,0,en,orange
255,0,214,en,hot pink
236,0,255,en,purple pink
113,255,0,en,lime green
255,167,0,en,orange
255,0,162,en,hot pink
138,0,255,en,purple
255,0,34,en,red
223,255,0,en,chartreuse
255,0,94,en,hot red pink
255,0,139,en,pink
255,119,0,en,orange
116,255,0,en,green
164,255,0,en,lime
255,0,63,en,red
255,159,0,en,orange
95,0,255,en,violet
255,127,0,en,medium orange
205,0,255,en,fushia
255,164,0,en,light orange
255,192,0,en,sunflower yellow
251,0,255,en,magenta
255,0,129,en,pink
255,0,78,en,red
255,0,160,en,magenta
255,196,0,en,yellow
255,206,0,en,yellow
255,98,0,en,orange
46,0,255,en,royal blue
183,0,255,en,purple
255,0,73,en,hot pink
151,255,0,en,lime green
255,0,165,en,fuschia
178,255,0,en,puce
224,255,0,en,yellow
255,133,0,en,orange
255,251,0,en,yellow
104,255,0,en,green
255,0,74,en,pink
255,241,0,en,yellow
29,255,0,en,lime green
255,0,93,en,fuchsia
255,0,127,en,fuschia
243,0,255,en,pink
238,255,0,en,yellow
255,0,171,en,magenta
228,255,0,en,yellow
188,0,255,en,purple
255,151,0,en,orange
255,216,0,en,gold
255,0,56,en,red
216,0,255,en,light purple
255,210,0,en,yellow
255,0,222,en,pink
255,0,134,en,pink
255,0,127,en,hot pink
255,11,0,en,red
255,135,0,en,orange
255,249,0,en,yellow
255,213,0,en,goldenrod
255,0,176,en,hot pink
255,0,139,en,fuschia
255,42,0,en,orange
255,0,51,en,red
255,162,0,en,orange
255,0,6,en,red
255,209,0,en,mustard yellow
255,0,206,en,fuchsia
255,51,0,en,red
59,0,255,en,royal blue
255,136,0,en,orange
255,0,192,en,fushia
203,255,0,en,lime green
255,0,124,en,hot pink (slightly darker)
255,0,231,en,magenta
255,0,168,en,hot pink
255,251,0,en,yellow
255,0,246,en,magenta
255,0,88,en,red
255,0,42,en,red
60,0,255,en,dark blue
136,255,0,en,yellow
255,0,245,en,purple
255,175,0,en,orange
76,255,0,en,yellow
255,205,0,en,gold
219,255,0,en,highlighter yellow
148,0,255,en,lilac
255,0,247,en,hot pink
255,164,0,en,tangerine
255,97,0,en,rust orange
255,0,214,en,magenta
255,176,0,en,orange
114,255,0,en,neon green
154,0,255,en,purple
222,255,0,en,yellow
255,0,112,en,rose
255,0,177,en,magenta
139,255,0,en,neon green
255,0,61,en,red
210,0,255,en,purple
255,212,0,en,orange
221,0,255,en,purple
255,0,41,en,red
255,0,94,en,magenta
255,13,0,en,red
255,92,0,en,burnt orange
239,255,0,en,yello
255,120,0,en,orange
255,0,225,en,purple
255,229,0,en,yellow
255,0,152,en,magenta
164,0,255,en,purple
255,108,0,en,orange
144,255,0,en,lime green
255,0,200,en,magenta
124,0,255,en,purple
196,255,0,en,yellow green
255,0,74,en,reddish pink...
254,255,0,en,yellow
176,255,0,en,leaf green
255,16,0,en,red
255,0,92,en,pink
255,141,0,en,orange
169,0,255,en,purple
255,0,126,en,pink
255,0,63,en,red
139,0,255,en,purple
180,255,0,en,lime
204,255,0,en,lime
255,157,0,en,orange
255,178,0,en,orange
255,248,0,en,yellow
255,0,41,en,red
255,0,82,en,red pink
255,65,0,en,red
255,0,62,en,red
255,0,145,en,pink
255,236,0,en,yellow
255,0,211,en,pink
255,0,100,en,fuschia
243,255,0,en,yello
255,0,149,en,fuschia
89,255,0,en,light green
255,237,0,en,dark yellow
255,0,176,en,fuschia
255,90,0,en,dark orange
62,0,255,en,dark blue
255,0,254,en,pink
255,0,120,en,red pink
187,0,255,en,purple
255,186,0,en,yellow
255,151,0,en,light orange
255,0,47,en,red
255,71,0,en,dark orange
255,204,0,en,dirty yellow
95,255,0,en,bright green
255,0,125,en,bright pink
255,0,216,en,purple
247,0,255,en,purple
255,150,0,en,burnt orange
255,213,0,en,school bus yellow
105,255,0,en,highlighter green
255,194,0,en,orangish yellow
255,0,187,en,fuchsia
255,0,165,en,hot pink
255,0,36,en,red
255,122,0,en,orange
227,0,255,en,fuchsia
255,0,175,en,pink
255,211,0,en,gold
255,220,0,en,yellow
185,255,0,en,lime green
255,246,0,en,fluorescent yellow
255,208,0,en,goldenrod
143,0,255,en,violet
255,180,0,en,yellow orange
167,0,255,en,purple
255,0,231,en,fuchsia
255,253,0,en,yellow
255,0,124,en,hot pink
127,255,0,en,lime green
255,242,0,en,yellow
255,150,0,en,orange
255,45,0,en,red
255,0,190,en,magenta
255,205,0,en,gold
157,255,0,en,chartreuse
255,0,30,en,red
255,0,143,en,fuschia
224,0,255,en,purple
255,228,0,en,yellow
253,0,255,en,fuchsia
255,158,0,en,tangerine
29,0,255,en,royal blue
255,0,132,en,pink
255,230,0,en,yellow
255,122,0,en,orange
255,0,172,en,sangria
255,109,0,en,orange
255,0,211,en,pink
255,127,0,en,orange
255,163,0,en,light orange
255,199,0,en,yellow
255,0,45,en,red
170,0,255,en,purple
255,63,0,en,crimson
255,84,0,en,dark orange
255,0,235,en,magenta
255,182,0,en,gold
50,0,255,en,royal blue
189,255,0,en,yellow
255,0,207,en,fuchsia
202,255,0,en,yellow
255,0,234,en,fuchsia
255,0,75,en,punch
128,0,255,en,purple
255,0,43,en,red
255,169,0,en,orange
255,0,212,en,pink
255,0,80,en,pink
147,0,255,en,purple
255,105,0,en,orange
205,0,255,en,fuchsia
255,0,188,en,magenta
213,255,0,en,"florescent ye,low"
174,255,0,en,lime
255,186,0,en,golden yellow
255,0,20,en,bright red
255,214,0,en,light gold yellow
255,109,0,en,copper
255,0,117,en,dark pink
255,0,170,en,magenta
253,255,0,en,yellow
255,0,52,en,red
255,0,116,en,dark pink
81,255,0,en,yellow green
255,0,190,en,pink
255,0,167,en,magenta
74,0,255,en,violet
255,189,0,en,mustard
255,0,81,en,punch
255,49,0,en,burnt orange
194,0,255,en,purple
62,255,0,en,light green
255,108,0,en,orange
236,255,0,en,yellow
162,255,0,en,olive
255,246,0,en,yellow
255,140,0,en,orange
255,0,84,en,pinkish red
54,255,0,en,neon green
144,0,255,en,purple
255,0,62,en,red
255,0,173,en,magenta
160,0,255,en,purple
170,255,0,en,lime green
211,255,0,en,yellow green
190,0,255,en,light purple
255,61,0,en,red orange
255,214,0,en,gold
222,0,255,en,violet
255,0,89,en,pink
92,255,0,en,light lime green
255,65,0,en,red
255,153,0,en,copper
255,0,215,en,magenta
255,0,110,en,dark pink
78,255,0,en,lime green
255,0,82,en,pink
255,0,179,en,pink
255,0,11,en,red
220,255,0,en,yellow
255,73,0,en,orange
255,0,137,en,pink
26,255,0,en,lime green
255,0,88,en,dark pink
255,0,153,en,hot pink
236,255,0,en,chartreuse
255,219,0,en,yellow
255,198,0,en,goldenrod
255,0,177,en,pink
255,228,0,en,yellow
56,0,255,en,blue
29,255,0,en,green
210,255,0,en,green yellow
255,0,91,en,red
255,0,10,en,red
255,0,109,en,magenta
255,6,0,en,red
151,0,255,en,purple
255,0,245,en,magenta
255,0,207,en,magenta
207,0,255,en,purple
255,0,213,en,magenta
255,86,0,en,blood orange
228,255,0,en,urine
225,0,255,en,purple
255,192,0,en,gold
255,0,183,en,magenta
255,120,0,en,orange
102,255,0,en,light green
255,0,42,en,red
80,0,255,en,royal blue
255,0,66,en,magenta
255,177,0,en,gold
243,0,255,en,magenta
138,255,0,en,lime green
255,106,0,en,orange
146,255,0,en,light greenish
255,31,0,en,red
255,0,80,en,red purple
255,0,104,en,red purple
255,0,154,en,magenta
255,0,141,en,magenta
111,0,255,en,purple
255,57,0,en,red
255,138,0,en,burnt orange
218,0,255,en,magenta
255,0,236,en,magenta
255,0,43,en,red
255,157,0,en,burnt orange
255,205,0,en,yellow
189,0,255,en,purple
255,180,0,en,gold
231,255,0,en,yellow
255,227,0,en,yellow gold
255,184,0,en,gold
255,0,171,en,pink
100,255,0,en,green
255,0,114,en,magenta
255,217,0,en,yellow
247,255,0,en,bright yellow
255,143,0,en,orange
222,255,0,en,greenish yellow
150,0,255,en,purple
255,0,14,en,red
255,0,156,en,pink
181,255,0,en,yellow green
255,0,131,en,pink
255,0,76,en,red
63,255,0,en,green
159,0,255,en,violet
254,255,0,en,yellow
255,117,0,en,burnt orange
202,0,255,en,magenta
255,0,71,en,red
255,0,83,en,pink
255,55,0,en,orange
255,149,0,en,orange
99,255,0,en,green
52,0,255,en,blue
255,251,0,en,yellow
255,195,0,en,yellow
255,0,72,en,red
249,0,255,en,pink
255,0,201,en,pink
71,255,0,en,neon green
255,0,34,en,red
255,0,100,en,pinkish red
255,0,217,en,pink
255,103,0,en,orange
255,222,0,en,goldenrod
255,0,217,en,fuchsia
255,0,164,en,magenta
255,96,0,en,deep coral
216,255,0,en,key lime pie
177,0,255,en,purple
112,255,0,en,spring green
6,255,0,en,neon green
255,163,0,en,orange
255,0,186,en,pink
146,0,255,en,purple
255,0,6,en,red
255,83,0,en,persimmon
255,0,146,en,fuschia
179,0,255,en,violet
188,255,0,en,lime green
255,0,74,en,red
184,255,0,en,chartreuse
255,163,0,en,amber
147,255,0,en,yellow
255,15,0,en,red
87,255,0,en,yellow
255,0,218,en,blue
