r,g,b,lang_code,human_raw,human_norm,human_min
0,255,193,en,teal,teal,teal
255,0,48,en,red,red,red
0,255,129,en,green,green,green
0,255,237,en,aqua,aqua,aqua
255,0,196,en,magenta,magenta,magenta
255,143,0,en,orange,orange,orange
129,255,0,en,lime green,lime green,limegreen
197,0,255,en,purple,purple,purple
0,147,255,en,blue,blue,blue
0,255,158,en,seafoam green,seafoam green,seafoamgreen
255,32,0,en,red,red,red
178,255,0,en,lime green,lime green,limegreen
67,0,255,en,blue,blue,blue
255,89,0,en,red-orange,red orange,redorange
255,239,0,en,yellow,yellow,yellow
153,0,255,en,purple,purple,purple
0,255,107,en,green,green,green
0,112,255,en,blue,blue,blue
249,255,0,en,yellow,yellow,yellow
0,165,255,en,blue,blue,blue
0,121,255,en,blue,blue,blue
255,0,88,en,dark coral,dark coral,darkcoral
0,255,47,en,green,green,green
255,0,168,en,pink,pink,pink
0,89,255,en,blue,blue,blue
0,211,255,en,light blue,light blue,lightblue
0,46,255,en,blue,blue,blue
0,187,255,en,light blue,light blue,lightblue
255,0,220,en,pink,pink,pink
247,0,255,en,magenta,magenta,magenta
0,234,255,en,light blue,light blue,lightblue
255,167,0,en,orange,orange,orange
204,255,0,en,neon yellow,neon yellow,neonyellow
255,209,0,en,orange,orange,orange
255,0,133,en,pink,pink,pink
255,0,78,en,red,red,red
0,255,160,en,teal,teal,teal
0,255,145,en,teal,teal,teal
255,155,0,en,orange,orange,orange
255,113,0,en,dark orange,dark orange,darkorange
255,232,0,en,yellow,yellow,yellow
255,0,153,en,hot pink,hot pink,hotpink
188,255,0,en,lime green,lime green,limegreen
255,79,0,en,dark orange,dark orange,darkorange
255,0,80,en,red-pink,red pink,redpink
170,0,255,en,purple,purple,purple
239,0,255,en,pink,pink,pink
255,204,0,en,goldenrod,goldenrod,goldenrod
146,0,255,en,purple,purple,purple
255,0,44,en,red,red,red
185,255,0,en,lime green,lime green,limegreen
0,222,255,en,sky blue,sky blue,skyblue
0,255,93,en,highlighter green,highlighter green,highlightergreen
255,139,0,en,orange,orange,orange
0,161,255,en,cornflower blue,cornflower blue,cornflowerblue
0,240,255,en,light blue,light blue,lightblue
0,51,255,en,blue,blue,blue
0,106,255,en,blue,blue,blue
255,0,199,en,magenta,magenta,magenta
0,255,244,en,light blue,light blue,lightblue
255,0,130,en,hot pink,hot pink,hotpink
74,0,255,en,midnight blue,midnight blue,midnightblue
255,0,231,en,pink,pink,pink
0,123,255,en,blue,blue,blue
0,255,48,en,green,green,green
0,255,212,en,aquamarine,aquamarine,aquamarine
118,255,0,en,yellow-green,yellow green,yellowgreen
255,0,85,en,spicy pink,spicy pink,spicypink
236,255,0,en,yellow,yellow,yellow
0,190,255,en,cornflower blue,cornflower blue,cornflowerblue
0,81,255,en,blue with a little bit of purple,blue with a little bit of purple,bluewithalittlebitofpurple
0,140,255,en,blue,blue,blue
255,0,130,en,Pink,pink,pink
0,255,206,en,Turqoise,turqoise,turquoise
255,0,75,en,Dark Salmon,dark salmon,darksalmon
0,92,255,en,Blue,blue,blue
255,177,0,en,Goldenrod,goldenrod,goldenrod
64,255,0,en,Bright Green,bright green,brightgreen
0,132,255,en,Blue,blue,blue
0,247,255,en,Light Blue,light blue,lightblue
255,24,0,en,Red,red,red
255,0,9,en,Red,red,red
255,0,245,en,Fuchsia,fuchsia,fuchsia
0,218,255,en,Baby Blue,baby blue,babyblue
0,152,255,en,Carolina Blue,carolina blue,carolinablue
184,255,0,en,Neon Green,neon green,neongreen
0,255,71,en,Lime Green,lime green,limegreen
0,42,255,en,Blue,blue,blue
0,255,241,en,Teal,teal,teal
92,255,0,en,Lime Green,lime green,limegreen
255,242,0,en,Yellow,yellow,yellow
255,0,178,en,Hot Pink,hot pink,hotpink
255,199,0,en,Yellow/Orange,yellow/orange,yelloworange
191,255,0,en,Neon Green,neon green,neongreen
0,190,255,en,Bright Blue,bright blue,brightblue
255,115,0,en,Orange,orange,orange
0,169,255,en,Light blue,light blue,lightblue
156,255,0,en,Lime green,lime green,limegreen
255,44,0,en,Red,red,red
0,186,255,en,Sky blue,sky blue,skyblue
255,0,34,en,Scarlet,scarlet,scarlet
110,0,255,en,Mauve,mauve,mauve
101,255,0,en,Neon green,neon green,neongreen
255,217,0,en,Mustard,mustard,mustard
0,62,255,en,Royal blue,royal blue,royalblue
0,146,255,en,Azure,azure,azure
192,255,0,en,Light green,light green,lightgreen
255,105,0,en,Orange,orange,orange
255,146,0,en,Orange,orange,orange
126,0,255,en,Purple,purple,purple
0,56,255,en,Blue,blue,blue
0,68,255,en,Blue,blue,blue
0,255,173,en,Turqoise,turqoise,turquoise
255,0,92,en,Dark Pink,dark pink,darkpink
0,255,114,en,Mint Green,mint green,mintgreen
0,200,255,en,Baby Blue,baby blue,babyblue
0,255,227,en,Light Blue,light blue,lightblue
255,92,0,en,Dark Orange,dark orange,darkorange
0,179,255,en,Baby blue,baby blue,babyblue
0,3,255,en,Blue,blue,blue
238,255,0,en,Yellow,yellow,yellow
255,0,198,en,Hot pink,hot pink,hotpink
0,255,179,en,Mint green,mint green,mintgreen
0,255,141,en,Apple,apple,apple
0,255,203,en,Bright turquoise,bright turquoise,brightturquoise
255,0,219,en,Dark pink,dark pink,darkpink
0,80,255,en,Navy,navy,navy
255,0,97,en,Red/pink,red/pink,redpink
181,0,255,en,Mauve,mauve,mauve
50,0,255,en,Royal blue,royal blue,royalblue
0,131,255,en,Sky blue,sky blue,skyblue
0,255,111,en,Lime green,lime green,limegreen
227,255,0,en,Marigold,marigold,marigold
255,185,0,en,Dark Yellow,dark yellow,darkyellow
