r,g,b,lang_code,human_raw,human_norm,human_min
62,131,63,ko,풀,풀색,풀
125,248,219,ko,옥,옥색,옥
212,225,16,ko,연두,연두색,연두
24,25,193,ko,군청,군청색,군청
199,231,126,ko,풀,풀색,풀
74,218,0,ko,초록,초록색,초록
14,81,127,ko,곤색,곤색,곤
97,80,200,ko,보라,보라색,보라
72,227,105,ko,에버그린,에버그린색,에버그린
82,194,152,ko,청록,청록색,청록
102,99,4,ko,고동,고동색,고동
13,0,224,ko,파랑,파랑색,파랑
115,63,14,ko,갈색,갈색,갈
21,117,91,ko,청록,청록색,청록
43,152,193,ko,파랑,파랑색,파랑
159,77,249,ko,보라,보라색,보라
71,186,196,ko,하늘,하늘색,하늘
113,30,37,ko,갈색,갈색,갈
184,139,223,ko,연보라,연보라색,연보라
254,185,80,ko,개나리,개나리색,개나리
90,99,70,ko,고동,고동색,고동
243,49,30,ko,주홍,주홍색,주홍
186,236,191,ko,연연두,연연두색,연연두
43,109,219,ko,파랑,파랑색,파랑
216,150,126,ko,황토,황토색,황토
84,169,2,ko,풀,풀색,풀
215,217,199,ko,베이지,베이지색,베이지
176,47,137,ko,자주,자주색,자주
221,208,232,ko,연보라,연보라색,연보라
215,178,111,ko,황토,황토색,황토
237,115,126,ko,연분홍,연분홍색,연분홍
78,26,48,ko,갈색,갈색,갈
241,106,199,ko,분홍,분홍색,분홍
216,125,12,ko,황토,황토색,황토
136,16,77,ko,자주,자주색,자주
222,107,192,ko,진분홍,진분홍색,진분홍
98,237,126,ko,에메랄드,에메랄드색,에메랄드
243,246,3,ko,노랑,노랑색,노랑
241,251,183,ko,베이지,베이지색,베이지
4,197,197,ko,코발트블루,코발트블루색,코발트블루
96,108,235,ko,밝은파랑,밝은파랑색,밝은파랑
168,67,13,ko,갈색,갈색,갈
14,248,40,ko,연두색,연두색,연두
25,26,83,ko,남색,남색,남
139,198,252,ko,하늘색,하늘색,하늘
128,3,162,ko,보라색,보라색,보라
29,53,40,ko,검정색,검정색,검정
204,182,175,ko,분홍회색,분홍회색,분홍회
249,198,17,ko,개나리색,개나리색,개나리
124,174,56,ko,쑥색,쑥색,쑥
53,116,13,ko,진녹색,진녹색,진녹
224,40,242,ko,분홍색,분홍색,분홍
28,199,24,ko,풀색,풀색,풀
108,23,115,ko,보라색,보라색,보라
168,42,254,ko,형광보라색,형광보라색,형광보라
82,110,116,ko,파란회색,파란회색,파랑회
16,129,225,ko,파란색,파란색,파랑
254,3,59,ko,빨간색,빨간색,빨강
119,111,13,ko,똥색,똥색,똥
98,181,135,ko,진한에메랄드색,진한에메랄드색,진에메랄드
14,74,230,ko,바다색,바다색,바다
202,26,74,ko,버건디,버건디색,버건디
28,152,26,ko,풀색,풀색,풀
246,158,60,ko,주황색,주황색,주황
200,32,132,ko,자주색,자주색,자주
103,16,13,ko,벽돌색,벽돌색,벽돌
81,81,24,ko,진한쑥색,진한쑥색,진쑥
150,87,215,ko,형광보라색,형광보라색,형광보라
161,142,84,ko,회갈색,회갈색,회갈
253,6,128,ko,핫핑크,핫핑크색,핫핑크
67,56,72,ko,짖은 남회색,짖은 남회색,짖은남회
1,44,91,ko,남색,남색,남
247,116,36,ko,주황색,주황색,주황
195,163,24,ko,황토색,황토색,황토
164,75,242,ko,연보라색,연보라색,연보라
247,68,150,ko,핑크색,핑크색,핑크
105,71,51,ko,갈색,갈색,갈
199,13,205,ko,보라색,보라색,보라
147,15,88,ko,어두운빨강,어두운빨강색,어두운빨강
30,194,127,ko,녹색,녹색,녹
155,145,204,ko,아이보리색,아이보리색,아이보리
75,50,218,ko,파란색,파란색,파랑
211,215,227,ko,회색,회색,회
242,1,84,ko,빨간색,빨간색,빨강
251,67,212,ko,핑크색,핑크색,핑크
136,253,28,ko,연두색,연두색,연두
125,36,5,ko,갈색,갈색,갈
59,152,103,ko,녹색,녹색,녹
33,63,33,ko,짙은녹색,짙은녹색,짙은녹
113,81,213,ko,연보라,연보라색,연보라
81,240,86,ko,형광녹색,형광녹색,형광녹
89,2,139,ko,보라색,보라색,보라
251,122,229,ko,연핑크색,연핑크색,연핑크
65,24,12,ko,짙은갈색,짙은갈색,짙은갈
115,164,53,ko,밝은녹색,밝은녹색,밝은녹
118,255,148,ko,형광녹색,형광녹색,형광녹
109,194,224,ko,어두운파랑,어두운파랑색,어두운파랑
202,240,94,ko,잔디색,잔디색,잔디
19,239,234,ko,형광파랑,형광파랑색,형광파랑
145,122,144,ko,회색,회색,회
222,156,93,ko,주황,주황색,주황
113,68,107,ko,자주,자주색,자주
24,127,199,ko,바다색,바다색,바다
98,123,128,ko,어두운녹색,어두운녹색,어두운녹
22,100,201,ko,파란색,파란색,파랑
125,16,114,ko,보라색,보라색,보라
240,30,26,ko,밝은빨강,밝은빨강색,밝은빨강
122,109,54,ko,흙색,흙색,흙
245,220,32,ko,노란색,노란색,노랑
64,67,185,ko,파란색,파란색,파랑
137,25,255,ko,보라색,보라색,보라
31,216,157,ko,에메랄드색,에메랄드색,에메랄드
156,212,187,ko,민트색,민트색,민트
17,166,49,ko,초록색,초록색,초록
232,69,92,ko,선홍색,선홍색,선홍
11,109,139,ko,청녹색,청녹색,청록
16,38,23,ko,검은녹색,검은녹색,검정녹
150,86,217,ko,옅은보라색,옅은보라색,옅은보라
64,148,84,ko,초록색,초록색,초록
200,241,53,ko,형광색,형광색,형광
3,17,152,ko,짙은파란색,짙은파란색,짙은파랑
141,103,9,ko,황토색,황토색,황토
126,93,182,ko,연보라색,연보라색,연보라
163,172,63,ko,풀색,풀색,풀
2,222,77,ko,초록색,초록색,초록
186,163,143,ko,연한갈색,연한갈색,연갈
207,161,53,ko,황토색,황토색,황토
136,211,140,ko,연한초록색,연한초록색,연초록
15,66,3,ko,진한초록색,진한초록색,진초록
76,8,110,ko,진한보라색,진한보라색,진보라
195,52,222,ko,보라색,보라색,보라
157,174,219,ko,페리윙클,페리윙클색,페리윙클
58,229,254,ko,하늘색,하늘색,하늘
38,88,157,ko,파란색,파란색,파랑
219,80,152,ko,분홍색,분홍색,분홍
41,121,1,ko,초록색,초록색,초록
84,73,85,ko,짙은회색,짙은회색,짙은회
8,175,153,ko,에메랄드색,에메랄드색,에메랄드
51,143,207,ko,파란색,파란색,파랑
68,240,225,ko,민트색,민트색,민트
255,100,19,ko,주황색,주황색,주황
37,107,82,ko,초록,초록색,초록
208,85,44,ko,주황,주황색,주황
245,57,166,ko,핑크,핑크색,핑크
178,21,84,ko,진달래,진달래색,진달래
221,153,35,ko,겨자,겨자색,겨자
147,229,221,ko,민트,민트색,민트
213,8,193,ko,자주,자주색,자주
173,125,228,ko,보라,보라색,보라
67,139,173,ko,청녹,청녹색,청록
103,108,173,ko,진보라,진보라색,진보라
190,88,182,ko,보라,보라색,보라
118,77,255,ko,보린,보린색,보린
237,231,104,ko,개나리,개나리색,개나리
48,123,52,ko,초록,초록색,초록
66,195,83,ko,연두,연두색,연두
123,249,11,ko,형광연두,형광연두색,형광연두
101,180,114,ko,초록,초록색,초록
86,12,150,ko,보라,보라색,보라
73,205,23,ko,연두,연두색,연두
22,107,212,ko,파랑,파랑색,파랑
179,175,250,ko,보린,보린색,보린
178,211,133,ko,파스텔연두,파스텔연두색,파스텔연두
221,210,16,ko,겨자,겨자색,겨자
76,10,20,ko,밤색,밤색,밤
6,212,183,ko,민트,민트색,민트
207,228,191,ko,연두,연두색,연두
12,46,24,ko,검정,검정색,검정
95,83,34,ko,갈색,갈색,갈
249,219,216,ko,연한핑크,연한핑크색,연핑크
29,7,176,ko,진파랑,진파랑색,진파랑
31,4,239,ko,파랑,파랑색,파랑
253,116,160,ko,핑크,핑크색,핑크
134,69,70,ko,갈색,갈색,갈
195,33,49,ko,빨강,빨강색,빨강
177,225,47,ko,연두,연두색,연두
15,18,7,ko,검정,검정색,검정
104,162,37,ko,풀색,풀색,풀
236,48,114,ko,진분홍,진분홍색,진분홍
201,5,153,ko,자주색,자주색,자주
38,87,199,ko,인디고,인디고색,인디고
1,16,214,ko,군청색,군청색,군청
217,180,112,ko,금색,금색,금
104,229,3,ko,연두색,연두색,연두
238,34,240,ko,핫핑크,핫핑크색,핫핑크
28,197,78,ko,녹색,녹색,녹
18,233,205,ko,청록색,청록색,청록
0,248,116,ko,에메랄드,에메랄드색,에메랄드
203,140,116,ko,밝은 갈색,밝은 갈색,밝은갈
76,241,201,ko,에메랄드,에메랄드색,에메랄드
68,4,111,ko,진보라,진보라색,진보라
197,183,249,ko,연보라,연보라색,연보라
222,60,0,ko,주황,주황색,주황
129,32,40,ko,적갈색,적갈색,적갈
81,200,195,ko,청록색,청록색,청록
26,175,222,ko,하늘색,하늘색,하늘
13,5,4,ko,검은색,검은색,검정
240,195,67,ko,노란색,노란색,노랑
33,32,160,ko,파랑색,파랑색,파랑
251,146,119,ko,살구색,살구색,살구
174,141,59,ko,황토색,황토색,황토
114,174,104,ko,연두색,연두색,연두
6,151,33,ko,초록색,초록색,초록
20,99,84,ko,청록색,청록색,청록
108,220,116,ko,연녹색,연녹색,연녹
227,39,150,ko,자주색,자주색,자주
70,88,34,ko,검녹색,검녹색,검녹
231,87,200,ko,자주색,자주색,자주
211,174,166,ko,살구색,살구색,살구
42,151,235,ko,파랑색,파랑색,파랑
152,102,215,ko,보라색,보라색,보라
11,3,232,ko,파랑색,파랑색,파랑
247,150,221,ko,분홍색,분홍색,분홍
125,136,197,ko,연보라색,연보라색,연보라
139,208,20,ko,연녹색,연녹색,연녹
3,52,49,ko,청록색,청록색,청록
20,52,220,ko,파랑색,파랑색,파랑
151,81,49,ko,황토색,황토색,황토
160,2,131,ko,진홍색,진홍색,진홍
187,76,9,ko,적갈색,적갈색,적갈
205,31,40,ko,빨강색,빨강색,빨강
225,91,135,ko,분홍색,분홍색,분홍
97,130,154,ko,쥐색,쥐색,쥐
222,219,60,ko,형광색,형광색,형광
225,128,37,ko,황토색,황토색,황토
40,93,142,ko,군청,군청색,군청
171,33,21,ko,검붉은색,검붉은색,검붉은
210,6,62,ko,마젠타,마젠타색,마젠타
68,43,215,ko,파랑,파랑색,파랑
119,84,224,ko,연보라,연보라색,연보라
105,116,80,ko,카키,카키색,카키
51,203,192,ko,청록,청록색,청록
179,145,107,ko,연갈색,연갈색,연갈
227,50,226,ko,형광핑크,형광핑크색,형광핑크
169,186,191,ko,회색,회색,회
2,220,125,ko,에메랄드,에메랄드색,에메랄드
238,213,6,ko,노랑,노랑색,노랑
25,123,247,ko,파랑,파랑색,파랑
70,151,245,ko,연파랑,연파랑색,연파랑
64,117,18,ko,짙은 녹색,짙은 녹색,짙은녹
236,235,160,ko,연노랑,연노랑색,연노랑
102,223,252,ko,하늘,하늘색,하늘
164,163,228,ko,연보라,연보라색,연보라
247,141,182,ko,분홍,분홍색,분홍
224,100,56,ko,주황,주황색,주황
80,183,58,ko,초록,초록색,초록
17,50,157,ko,남색,남색,남
143,78,88,ko,물빠진 보라,물빠진 보라색,물빠진보라
38,9,32,ko,짙은 보라,짙은 보라색,짙은보라
131,248,185,ko,에메랄드,에메랄드색,에메랄드
130,86,134,ko,물빠진 보라,물빠진 보라색,물빠진보라
213,203,77,ko,겨자색,겨자색,겨자
86,11,80,ko,보라,보라색,보라
191,244,31,ko,연두,연두색,연두
65,186,117,ko,짙은 에메랄드,짙은 에메랄드색,짙은에메랄드
240,87,168,ko,핫핑크,핫핑크색,핫핑크
62,33,22,ko,짙은 카키,짙은 카키색,짙은카키
211,123,217,ko,연보라,연보라색,연보라
3,73,11,ko,짙은 녹색,짙은 녹색,짙은녹
127,119,25,ko,카키색,카키색,카키
248,149,79,ko,살구색,살구색,살구
228,83,242,ko,진달래색,진달래색,진달래
206,21,249,ko,보라색,보라색,보라
198,136,194,ko,라벤더,라벤더색,라벤더
142,61,149,ko,푸시아,푸시아색,푸시아
234,221,208,ko,아이보리,아이보리색,아이보리
67,231,58,ko,연녹색,연녹색,연녹
39,212,217,ko,청록색,청록색,청록
199,199,121,ko,올리브색,올리브색,올리브
82,114,208,ko,청색,청색,청
178,3,24,ko,빨강색,빨강색,빨강
231,161,78,ko,주황색,주황색,주황
149,204,94,ko,연두색,연두색,연두
36,164,88,ko,초록색,초록색,초록
103,88,26,ko,올리브,올리브색,올리브
138,162,153,ko,회청색,회청색,회청
47,39,52,ko,검정색,검정색,검정
191,173,63,ko,올리브,올리브색,올리브
220,93,24,ko,주황색,주황색,주황
228,66,162,ko,분홍색,분홍색,분홍
24,3,160,ko,사파이어,사파이어색,사파이어
119,13,199,ko,보라색,보라색,보라
1,95,124,ko,청록색,청록색,청록
128,57,66,ko,갈색,갈색,갈
167,167,221,ko,라벤더,라벤더색,라벤더
28,239,99,ko,연두,연두색,연두
205,154,177,ko,팥죽색,팥죽색,팥죽
167,7,167,ko,보라,보라색,보라
134,30,222,ko,남색,남색,남
253,231,88,ko,노랑,노랑색,노랑
119,119,164,ko,잿빛,잿빛색,잿빛
64,71,237,ko,파랑,파랑색,파랑
221,123,195,ko,분홍,분홍색,분홍
231,114,6,ko,주황,주황색,주황
226,255,249,ko,하늘,하늘색,하늘
80,195,76,ko,초록,초록색,초록
35,8,163,ko,파랑,파랑색,파랑
234,154,216,ko,분홍,분홍색,분홍
170,252,74,ko,밝은연두,밝은연두색,밝은연두
31,231,172,ko,에메랄드,에메랄드색,에메랄드
26,54,81,ko,남색,남색,남
197,218,102,ko,연녹,연녹색,연녹
65,119,100,ko,어두운녹색,어두운녹색,어두운녹
77,166,9,ko,진녹,진녹색,진녹
14,230,52,ko,연두,연두색,연두
28,60,174,ko,파랑,파랑색,파랑
156,120,146,ko,자주,자주색,자주
232,6,44,ko,빨강,빨강색,빨강
231,15,82,ko,핫핑크,핫핑크색,핫핑크
86,237,98,ko,형광초록,형광초록색,형광초록
138,226,59,ko,연두,연두색,연두
235,127,154,ko,선분홍,선분홍색,선분홍
87,19,107,ko,짙은 보라,짙은 보라색,짙은보라
188,129,31,ko,황토,황토색,황토
32,166,15,ko,초록,초록색,초록
218,115,251,ko,연보라,연보라색,연보라
183,205,69,ko,올리브,올리브색,올리브
159,48,254,ko,보라,보라색,보라
47,102,52,ko,짙은 초록,짙은 초록색,짙은초록
76,91,248,ko,연파랑,연파랑색,연파랑
14,0,114,ko,진청색,진청색,진청
121,6,158,ko,보라색,보라색,보라
13,202,150,ko,연두색,연두색,연두
163,146,107,ko,올리브,올리브색,올리브
219,252,167,ko,연두색,연두색,연두
229,159,124,ko,황토색,황토색,황토
226,10,90,ko,진홍색,진홍색,진홍
253,39,62,ko,다홍색,다홍색,다홍
138,190,137,ko,카키색,카키색,카키
159,216,200,ko,에메랄드,에메랄드색,에메랄드
249,25,190,ko,자주색,자주색,자주
3,162,218,ko,하늘색,하늘색,하늘
39,153,38,ko,샙그린,샙그린색,샙그린
168,74,60,ko,브라운,브라운색,브라운
1,43,35,ko,다크그린,다크그린색,다크그린
201,75,30,ko,번트엄버,번트엄버색,번트엄버
240,29,216,ko,핫핑크,핫핑크색,핫핑크
196,89,178,ko,톤 다운된 핑크,톤 다운된 핑크색,톤다운된핑크
221,215,80,ko,머스타드,머스타드색,머스타드
14,94,238,ko,파랑,파랑색,파랑
29,223,162,ko,에메랄드,에메랄드색,에메랄드
12,223,6,ko,라이트그린,라이트그린색,라이트그린
48,158,97,ko,짙은 초록,짙은 초록색,짙은초록
238,15,86,ko,다홍색,다홍색,다홍
231,135,75,ko,주황,주황색,주황
25,144,203,ko,연파랑,연파랑색,연파랑
145,82,11,ko,갈색,갈색,갈
180,167,115,ko,모래색,모래색,모래
41,97,61,ko,청록,청록색,청록
41,241,195,ko,형광연두,형광연두색,형광연두
106,209,219,ko,하늘색,하늘색,하늘
15,52,5,ko,짙은초록,짙은초록색,짙은초록
218,3,57,ko,빨강,빨강색,빨강
44,79,163,ko,남색,남색,남
99,8,142,ko,보라,보라색,보라
13,102,10,ko,초록,초록색,초록
120,37,115,ko,보라색,보라색,보라
244,156,18,ko,감귤색,감귤색,감귤
83,121,186,ko,파란색,파란색,파랑
218,108,62,ko,주황색,주황색,주황
204,98,114,ko,선홍색,선홍색,선홍
90,177,1,ko,초록색,초록색,초록
31,216,5,ko,연두색,연두색,연두
19,218,97,ko,초록색,초록색,초록
249,6,155,ko,분홍색,분홍색,분홍
84,179,144,ko,청록색,청록색,청록
175,167,194,ko,연분홍색,연분홍색,연분홍
41,14,254,ko,파란색,파란색,파랑
244,167,168,ko,분홍색,분홍색,분홍
62,57,185,ko,파란색,파란색,파랑
149,216,213,ko,하늘색,하늘색,하늘
0,126,31,ko,초록색,초록색,초록
180,115,74,ko,갈색,갈색,갈
203,167,73,ko,연갈색,연갈색,연갈
34,249,175,ko,연두색,연두색,연두
132,29,19,ko,자주색,자주색,자주
96,172,86,ko,초록색,초록색,초록
138,69,90,ko,선홍색,선홍색,선홍
96,77,10,ko,갈색,갈색,갈
183,22,5,ko,빨강색,빨강색,빨강
162,27,74,ko,진자주,진자주색,진자주
135,201,149,ko,에메랄드,에메랄드색,에메랄드
171,34,126,ko,진분홍,진분홍색,진분홍
215,173,18,ko,황녹,황녹색,황녹
242,122,111,ko,코랄,코랄색,코랄
137,183,247,ko,소라,소라색,소라
158,51,173,ko,보라,보라색,보라
1,163,199,ko,터쿠이즈,터쿠이즈색,터쿠이즈
238,115,0,ko,주황,주황색,주황
1,150,79,ko,초록,초록색,초록
242,180,177,ko,연분홍,연분홍색,연분홍
44,244,253,ko,하늘,하늘색,하늘
111,124,115,ko,회색,회색,회
111,63,230,ko,파랑색,파랑색,파랑
191,39,158,ko,보라색,보라색,보라
7,156,246,ko,하늘색,하늘색,하늘
27,254,223,ko,연두색,연두색,연두
19,5,159,ko,파랑색,파랑색,파랑
173,81,197,ko,보라색,보라색,보라
42,89,119,ko,청록색,청록색,청록
78,75,151,ko,남색,남색,남
146,253,8,ko,연두색,연두색,연두
119,139,254,ko,파란색,파란색,파랑
203,132,164,ko,분홍색,분홍색,분홍
201,207,196,ko,회색,회색,회
236,24,178,ko,진분홍,진분홍색,진분홍
180,106,35,ko,갈색,갈색,갈
229,27,126,ko,분홍,분홍색,분홍
248,16,248,ko,보라,보라색,보라
254,7,0,ko,빨강,빨강색,빨강
