r,g,b,lang_code,human_raw,human_norm,human_min
0,47,255,ko,파란색,파란색,파랑
95,255,0,ko,연두색,연두색,연두
0,0,255,ko,파란색,파란색,파랑
100,0,255,ko,보라색,보라색,보라
0,255,153,ko,에메랄드색,에메랄드색,에메랄드
0,255,73,ko,연두색,연두색,연두
255,0,146,ko,핑크색,핑크색,핑크
255,0,237,ko,핑크색,핑크색,핑크
255,160,0,ko,오렌지색,오렌지색,오렌지
0,80,255,ko,파란색,파란색,파랑
0,113,255,ko,파란색,파란색,파랑
0,171,255,ko,하늘색,하늘색,하늘
0,255,232,ko,하늘색,하늘색,하늘
255,227,0,ko,노란색,노란색,노랑
255,0,87,ko,분홍색,분홍색,분홍
0,205,255,ko,하늘색,하늘색,하늘
206,255,0,ko,연두색,연두색,연두
173,0,255,ko,보라색,보라색,보라
255,248,0,ko,노란색,노란색,노랑
0,243,255,ko,하늘색,하늘색,하늘
255,0,50,ko,빨간색,빨간색,빨강
255,0,247,ko,분홍색,분홍색,분홍
255,0,193,ko,분홍색,분홍색,분홍
0,255,206,ko,연두색,연두색,연두
255,206,0,ko,노란색,노란색,노랑
0,210,255,ko,하늘색,하늘색,하늘
177,255,0,ko,연두색,연두색,연두
255,95,0,ko,주황색,주황색,주황
255,0,23,ko,빨간색,빨간색,빨강
0,255,190,ko,연두색,연두색,연두
0,144,255,ko,파란색,파란색,파랑
255,135,0,ko,주황색,주황색,주황
0,117,255,ko,파란색,파란색,파랑
255,0,140,ko,분홍색,분홍색,분홍
0,255,84,ko,연두색,연두색,연두
255,43,0,ko,빨강색,빨강색,빨강
255,47,0,ko,빨간색,빨간색,빨강
0,255,213,ko,청록색,청록색,청록
0,162,255,ko,하늘색,하늘색,하늘
0,90,255,ko,파란색,파란색,파랑
94,0,255,ko,남색,남색,남
0,255,44,ko,초록색,초록색,초록
217,0,255,ko,보라색,보라색,보라
255,0,251,ko,자주색,자주색,자주
0,255,171,ko,옥색,옥색,옥
255,0,212,ko,자주색,자주색,자주
0,223,255,ko,하늘색,하늘색,하늘
0,255,113,ko,연두색,연두색,연두
0,109,255,ko,파란색,파란색,파랑
255,141,0,ko,주황색,주황색,주황
255,212,0,ko,개나리색,개나리색,개나리
255,166,0,ko,주황색,주황색,주황
0,245,255,ko,청록색,청록색,청록
255,254,0,ko,노란색,노란색,노랑
255,0,200,ko,분홍색,분홍색,분홍
255,0,118,ko,다홍색,다홍색,다홍
144,255,0,ko,연두색,연두색,연두
0,255,249,ko,청록색,청록색,청록
0,56,255,ko,파란색,파란색,파랑
