r,g,b,lang_code,human_raw,human_norm,human_min
202,66,21,zh,红褐色,红褐色,红褐
93,219,26,zh,翠绿色,翠绿色,翠绿
12,163,63,zh,葱绿色,葱绿色,葱绿
62,143,161,zh,灰蓝色,灰蓝色,灰蓝
96,36,88,zh,紫红色,紫红色,紫红
33,149,88,zh,深绿色,深绿色,深绿
83,71,175,zh,紫色,紫色,紫
100,254,143,zh,荧光绿,荧光绿色,荧光绿
151,71,29,zh,红棕色,红棕色,红棕
18,218,230,zh,蓝色,蓝色,蓝
116,120,52,zh,暗绿色,暗绿色,暗绿
224,207,88,zh,鹅黄色,鹅黄色,鹅黄
4,81,176,zh,深蓝,深蓝色,深蓝
120,45,26,zh,锈红,锈红色,锈红
252,160,167,zh,粉,粉色,粉
220,65,195,zh,艳粉,艳粉色,艳粉
226,234,36,zh,黄,黄色,黄
184,145,244,zh,藕荷,藕荷色,藕荷
112,157,58,zh,绿,绿色,绿
205,92,32,zh,橙,橙色,橙
95,35,129,zh,紫,紫色,紫
216,161,114,zh,肉,肉色,肉
22,54,246,zh,宝蓝,宝蓝色,宝蓝
9,189,167,zh,蓝绿,蓝绿色,蓝绿
235,125,108,zh,皮粉,皮粉色,皮粉
41,166,215,zh,蓝,蓝色,蓝
7,241,29,zh,绿,绿色,绿
69,241,179,zh,蓝绿,蓝绿色,蓝绿
249,243,224,zh,米色,米色,米
251,93,167,zh,粉,粉色,粉
60,67,76,zh,藏蓝,藏蓝色,藏蓝
245,71,9,zh,橙红,橙红色,橙红
148,206,8,zh,草绿,草绿色,草绿
10,142,14,zh,深绿,深绿色,深绿
31,59,19,zh,藏绿,藏绿色,藏绿
82,123,140,zh,蓝,蓝色,蓝
36,48,197,zh,宝蓝,宝蓝色,宝蓝
163,5,38,zh,酒红,酒红色,酒红
4,123,93,zh,孔雀绿,孔雀绿色,孔雀绿
167,156,210,zh,藕荷,藕荷色,藕荷
205,195,80,zh,土黄,土黄色,土黄
122,44,100,zh,深紫,深紫色,深紫
254,128,7,zh,橙,橙色,橙
105,122,94,zh,暗绿,暗绿色,暗绿
18,194,62,zh,绿,绿色,绿
225,181,11,zh,黄,黄色,黄
20,97,244,zh,蓝,蓝色,蓝
126,193,182,zh,浅蓝绿,浅蓝绿色,浅蓝绿
222,45,197,zh,紫粉色,紫粉色,粉紫
101,215,163,zh,蓝绿,蓝绿色,蓝绿
167,7,91,zh,紫红,紫红色,紫红
142,68,61,zh,深粉,深粉色,深粉
181,16,237,zh,紫罗兰,紫罗兰色,紫罗蓝
203,222,46,zh,草绿,草绿色,草绿
3,197,98,zh,翠绿,翠绿色,翠绿
5,111,34,zh,深绿,深绿色,深绿
230,242,163,zh,蓝绿,蓝绿色,蓝绿
64,186,246,zh,天蓝,天蓝色,天蓝
242,181,94,zh,浅橙色,浅橙色,浅橙
21,53,182,zh,群青,群青色,群青
5,144,121,zh,深绿,深绿色,深绿
228,25,34,zh,正红,正红色,正红
211,106,136,zh,深粉,深粉色,深粉
68,12,14,zh,深紫红,深紫红色,深紫红
119,162,240,zh,青蓝,青蓝色,青蓝
