r,g,b,lang_code,human
255,246,0,zh,黄色
255,0,163,zh,玫红色
255,77,0,zh,橘红色
117,255,0,zh,草绿色
46,0,255,zh,宝蓝色
255,0,124,zh,玫红色
221,0,255,zh,紫红色
196,255,0,zh,黄绿色
255,114,0,zh,橙色
255,148,0,zh,橘黄色
255,0,182,zh,玫红色
166,0,255,zh,紫色
255,204,0,zh,鹅黄色
255,174,0,zh,黄色
255,0,46,zh,红色
255,0,82,zh,红色
255,0,53,zh,红色
255,218,0,zh,黄色
151,0,255,zh,紫色
144,255,0,zh,草绿色
255,0,220,zh,玫红色
134,255,0,zh,黄绿色
98,0,255,zh,蓝紫色
255,102,0,zh,橙色
99,255,0,zh,鲜绿色
255,0,39,zh,西瓜红色
255,242,0,zh,黄色
252,0,255,zh,紫红色
255,0,166,zh,桃红色
255,0,209,zh,玫红色
255,193,0,zh,鹅黄色
255,0,61,zh,西瓜红色
255,75,0,zh,橙色
255,144,0,zh,橘黄色
23,0,255,zh,蓝色
252,255,0,zh,柠檬黄色
184,0,255,zh,亮紫色
255,0,229,zh,玫红色
208,255,0,zh,黄绿色
255,0,129,zh,桃红色
255,157,0,zh,鹅黄色
255,0,94,zh,西瓜红色
255,211,0,zh,黃色
255,0,225,zh,紫紅色
255,0,89,zh,桃紅色
255,0,189,zh,紫紅色
255,215,0,zh,土黃色
255,0,123,zh,胭脂紅色
255,75,0,zh,橙色
155,0,255,zh,紫色
255,151,0,zh,淺橙色
255,100,0,zh,深橙色
189,255,0,zh,土黃色
229,0,255,zh,紫色
236,255,0,zh,黃色
255,0,163,zh,桃紅色
127,255,0,zh,青色
190,0,255,zh,紫色
255,0,76,zh,紅色
255,0,36,zh,鮮紅色
146,255,0,zh,青色
255,161,0,zh,淺橙色
255,117,0,zh,橘色
255,176,0,zh,黃色
255,0,101,zh,粉色
255,194,0,zh,黃色
215,0,255,zh,紫色
255,68,0,zh,紅色
90,255,0,zh,綠色
255,0,194,zh,粉色
177,255,0,zh,黃綠色
255,253,0,zh,黃色
255,0,255,zh,粉色
255,228,0,zh,黃色
255,0,14,zh,紅色
255,0,168,zh,粉紅色
