r,g,b,lang_code,gpt_raw,gpt_norm,gpt_min,gemini_raw,gemini_norm,gemini_min
206,211,109,en,yellow-green,yellow-green,yellowgreen,Pistachio,pistachio,pistachio
5,0,247,en,blue,blue,blue,Blue,blue,blue
147,75,179,en,purple,purple,purple,Purple,purple,purple
57,180,18,en,green,green,green,Lime green,lime green,limegreen
153,154,191,en,lavender,lavender,lavender,Lavender,lavender,lavender
104,210,87,en,green,green,green,Lime green,lime green,limegreen
109,114,54,en,olive,olive,olive,Olive green,olive green,olivegreen
86,211,26,en,green,green,green,Lime Green,lime green,limegreen
54,40,204,en,blue,blue,blue,Royal Blue,royal blue,royalblue
190,83,249,en,purple,purple,purple,Purple,purple,purple
30,144,27,en,green,green,green,Green,green,green
235,229,41,en,yellow,yellow,yellow,Yellow,yellow,yellow
72,109,144,en,blue,blue,blue,Steel blue,steel blue,steelblue
61,118,118,en,teal,teal,teal,Teal,teal,teal
68,54,222,en,blue,blue,blue,Royal Blue,royal blue,royalblue
110,72,71,en,brown,brown,brown,Red-brown,red-brown,redbrown
138,111,176,en,purple,purple,purple,Medium Purple,medium purple,mediumpurple
36,187,206,en,turquoise,turquoise,turquoise,Turquoise,turquoise,turquoise
89,230,67,en,green,green,green,Lime green,lime green,limegreen
202,123,143,en,pink,pink,pink,Rose,rose,rose
73,38,146,en,purple,purple,purple,Indigo,indigo,indigo
214,173,146,en,peach,peach,peach,Tan,tan,tan
172,184,125,en,green,green,green,Olive green,olive green,olivegreen
164,188,75,en,green,green,green,Olive green,olive green,olivegreen
97,7,89,en,purple,purple,purple,Deep purple,deep purple,deeppurple
133,106,188,en,purple,purple,purple,Purple,purple,purple
127,186,202,en,light blue,light blue,lightblue,Sky blue,sky blue,skyblue
203,214,174,en,light green,light green,lightgreen,Sage green,sage green,sagegreen
100,37,22,en,brown,brown,brown,Chestnut,chestnut,chestnut
181,209,183,en,light green,light green,lightgreen,Celadon,celadon,celadon
173,41,91,en,magenta,magenta,magenta,Cerise,cerise,cerise
60,170,131,en,green,green,green,Sea green,sea green,seagreen
64,48,130,en,purple,purple,purple,Indigo,indigo,indigo
155,198,69,en,yellow-green,yellow-green,yellowgreen,Lime green,lime green,limegreen
72,182,189,en,turquoise,turquoise,turquoise,Turquoise,turquoise,turquoise
2,250,214,en,cyan,cyan,cyan,Cyan,cyan,cyan
121,51,61,en,maroon,maroon,maroon,Maroon,maroon,maroon
39,236,187,en,turquoise,turquoise,turquoise,Turquoise,turquoise,turquoise
116,16,0,en,dark red,dark red,darkred,Maroon,maroon,maroon
254,162,111,en,orange,orange,orange,Peach,peach,peach
238,124,200,en,pink,pink,pink,Hot pink,hot pink,hotpink
222,88,13,en,orange,orange,orange,Burnt orange,burnt orange,burntorange
206,12,125,en,magenta,magenta,magenta,Magenta,magenta,magenta
142,97,123,en,purple,purple,purple,Mauve,mauve,mauve
183,193,188,en,gray,gray,gray,Sage green,sage green,sagegreen
205,122,253,en,purple,purple,purple,Purple,purple,purple
232,155,159,en,pink,pink,pink,Rose pink,rose pink,rosepink
240,98,196,en,pink,pink,pink,Hot pink,hot pink,hotpink
233,60,54,en,red,red,red,Scarlet,scarlet,scarlet
225,109,207,en,pink,pink,pink,Fuchsia,fuchsia,fuchsia
192,59,23,en,orange,orange,orange,Burnt orange,burnt orange,burntorange
164,187,26,en,yellow-green,yellow-green,yellowgreen,Pea green,pea green,peagreen
219,108,153,en,pink,pink,pink,Cerise,cerise,cerise
107,227,18,en,green,green,green,Lime green,lime green,limegreen
44,9,19,en,maroon,maroon,maroon,Burgundy,burgundy,burgundy
94,212,53,en,green,green,green,Lime green,lime green,limegreen
200,211,156,en,light green,light green,lightgreen,Pistachio,pistachio,pistachio
75,89,165,en,blue,blue,blue,Indigo,indigo,indigo
207,36,131,en,magenta,magenta,magenta,Fuchsia,fuchsia,fuchsia
195,211,183,en,green,green,green,Sage green,sage green,sagegreen
0,106,171,en,blue,blue,blue,Blue,blue,blue
73,8,71,en,purple,purple,purple,Purple,purple,purple
100,37,155,en,purple,purple,purple,Purple,purple,purple
27,252,30,en,green,green,green,Green,green,green
236,156,81,en,orange,orange,orange,Orange,orange,orange
90,228,232,en,cyan,cyan,cyan,Cyan,cyan,cyan
134,62,112,en,purple,purple,purple,Purple,purple,purple
135,96,0,en,brown,brown,brown,Bronze,bronze,bronze
89,39,159,en,purple,purple,purple,Purple,purple,purple
54,148,219,en,blue,blue,blue,Azure,azure,azure
152,43,40,en,red,red,red,Maroon,maroon,maroon
163,66,83,en,red,red,red,Raspberry,raspberry,raspberry
124,251,135,en,green,green,green,Light green,light green,lightgreen
33,3,194,en,blue,blue,blue,Blue,blue,blue
