r,g,b,lang_code,human_raw,human_norm
255,0,48,en,red,red
255,0,196,en,magenta,magenta
255,143,0,en,orange,orange
129,255,0,en,lime green,lime
197,0,255,en,purple,purple
255,32,0,en,red,red
178,255,0,en,lime green,lime
67,0,255,en,blue,blue
255,89,0,en,red orange,red orange
255,239,0,en,yellow,yellow
153,0,255,en,purple,purple
249,255,0,en,yellow,yellow
255,0,88,en,dark coral,dark coral
255,0,168,en,pink,pink
255,0,220,en,pink,pink
247,0,255,en,magenta,magenta
255,167,0,en,orange,orange
204,255,0,en,neon yellow,neon yellow
255,209,0,en,orange,orange
255,0,133,en,pink,pink
255,0,78,en,red,red
255,155,0,en,orange,orange
255,113,0,en,dark orange,dark orange
255,232,0,en,yellow,yellow
255,0,153,en,hot pink,hot pink
188,255,0,en,lime green,lime
255,79,0,en,dark orange,dark orange
255,0,80,en,red pink,red pink
170,0,255,en,purple,purple
239,0,255,en,pink,pink
255,204,0,en,goldenrod,goldenrod
146,0,255,en,purple,purple
255,0,44,en,red,red
185,255,0,en,lime green,lime
255,139,0,en,orange,orange
255,0,199,en,magenta,magenta
255,0,130,en,hot pink,hot pink
74,0,255,en,midnight blue,midnight blue
255,0,231,en,pink,pink
118,255,0,en,yellow green,yellow green
255,0,85,en,spicy pink,spicy pink
236,255,0,en,yellow,yellow
255,0,130,en,pink,pink
255,0,75,en,dark salmon,dark salmon
255,177,0,en,goldenrod,goldenrod
64,255,0,en,bright green,bright green
255,24,0,en,red,red
255,0,9,en,red,red
255,0,245,en,fuchsia,fuchsia
184,255,0,en,neon green,neon green
92,255,0,en,lime green,lime
255,242,0,en,yellow,yellow
255,0,178,en,hot pink,hot pink
255,199,0,en,yellow/orange,yelloworange
191,255,0,en,neon green,neon green
255,115,0,en,orange,orange
156,255,0,en,lime green,lime
255,44,0,en,red,red
255,0,34,en,scarlet,scarlet
110,0,255,en,mauve,mauve
101,255,0,en,neon green,neon green
255,217,0,en,mustard,mustard
192,255,0,en,light green,light green
255,105,0,en,orange,orange
255,146,0,en,orange,orange
126,0,255,en,purple,purple
255,0,92,en,dark pink,dark pink
255,92,0,en,dark orange,dark orange
238,255,0,en,yellow,yellow
255,0,198,en,hot pink,hot pink
255,0,219,en,dark pink,dark pink
255,0,97,en,red/pink,redpink
181,0,255,en,mauve,mauve
50,0,255,en,royal blue,royal blue
227,255,0,en,marigold,marigold
255,185,0,en,dark yellow,dark yellow
255,234,0,en,yellow,yellow
168,0,255,en,purple,purple
222,0,255,en,violet,violet
255,0,171,en,magenta,magenta
255,0,176,en,bright pink,bright pink
255,255,0,en,yellow,yellow
167,255,0,en,lime green,lime
255,139,0,en,orange,orange
255,0,169,en,hot pink,hot pink
255,0,67,en,red,red
232,0,255,en,mauve,mauve
255,186,0,en,mustard,mustard
255,180,0,en,70's china yellow,'s china yellow
255,0,116,en,bright pink,bright pink
255,77,0,en,red orange,red orange
255,253,0,en,yellow,yellow
165,255,0,en,light green,light green
219,0,255,en,light purple,light purple
255,0,105,en,dark pink,dark pink
255,0,179,en,pink,pink
125,0,255,en,purple,purple
255,105,0,en,orange,orange
255,225,0,en,yellow,yellow
255,165,0,en,orange/yellow,orangeyellow
255,129,0,en,orange,orange
255,249,0,en,yellow,yellow
211,0,255,en,purple,purple
255,223,0,en,orange,orange
255,42,0,en,red,red
255,0,191,en,pink,pink
255,0,247,en,violet,violet
250,255,0,en,yellow,yellow
255,0,45,en,red,red
238,0,255,en,cobalt,cobalt
255,0,63,en,scarlet,scarlet
255,0,201,en,purple,purple
255,0,133,en,magenta,magenta
255,68,0,en,red,red
162,0,255,en,royal blue,royal blue
255,111,0,en,orange,orange
255,0,97,en,fuchsia,fuchsia
219,255,0,en,yellow,yellow
112,255,0,en,lime green,lime
255,0,233,en,magenta,magenta
255,0,101,en,pink,pink
255,76,0,en,orange,orange
255,0,197,en,magenta,magenta
166,255,0,en,lime gren,lime gren
255,0,41,en,red,red
255,0,189,en,fuschia,fuschia
73,0,255,en,navy blue,navy
255,189,0,en,orange,orange
255,0,237,en,magenta,magenta
155,0,255,en,purple,purple
193,0,255,en,purple,purple
255,103,0,en,orange,orange
255,220,0,en,yellow,yellow
229,0,255,en,magenta,magenta
255,0,81,en,pink,pink
187,0,255,en,violet,violet
255,245,0,en,bright yellow,bright yellow
255,0,17,en,red,red
255,0,230,en,fuchsia,fuchsia
68,255,0,en,lime green,lime
244,0,255,en,magenta,magenta
83,0,255,en,dark blue,dark blue
255,155,0,en,burnt orange,burnt orange
255,224,0,en,mustard,mustard
255,106,0,en,orange,orange
255,0,78,en,red,red
67,255,0,en,green,green
223,255,0,en,yellow,yellow
255,175,0,en,light orange,light orange
255,0,145,en,pink,pink
255,0,41,en,red,red
255,98,0,en,red orange,red orange
144,0,255,en,purple,purple
255,214,0,en,yellow,yellow
255,121,0,en,orange,orange
255,0,214,en,hot pink,hot pink
236,0,255,en,purple pink,purple pink
113,255,0,en,lime green,lime
255,167,0,en,orange,orange
255,0,162,en,hot pink,hot pink
138,0,255,en,purple,purple
255,0,34,en,red,red
223,255,0,en,chartreuse,chartreuse
255,0,94,en,hot red pink,hot red pink
255,0,139,en,pink,pink
255,119,0,en,orange,orange
116,255,0,en,green,green
164,255,0,en,lime,lime
255,0,63,en,red,red
255,159,0,en,orange,orange
95,0,255,en,violet,violet
255,127,0,en,medium orange,medium orange
205,0,255,en,fushia,fushia
255,164,0,en,light orange,light orange
255,192,0,en,sunflower yellow,sunflower yellow
251,0,255,en,magenta,magenta
255,0,129,en,pink,pink
255,0,78,en,red,red
255,0,160,en,magenta,magenta
255,196,0,en,yellow,yellow
255,206,0,en,yellow,yellow
255,98,0,en,orange,orange
46,0,255,en,royal blue,royal blue
183,0,255,en,purple,purple
255,0,73,en,hot pink,hot pink
151,255,0,en,lime green,lime
255,0,165,en,fuschia,fuschia
178,255,0,en,puce,puce
224,255,0,en,yellow,yellow
255,133,0,en,orange,orange
255,251,0,en,yellow,yellow
104,255,0,en,green,green
255,0,74,en,pink,pink
255,241,0,en,yellow,yellow
29,255,0,en,lime green,lime
255,0,93,en,fuchsia,fuchsia
255,0,127,en,fuschia,fuschia
243,0,255,en,pink,pink
238,255,0,en,yellow,yellow
255,0,171,en,magenta,magenta
228,255,0,en,yellow,yellow
188,0,255,en,purple,purple
255,151,0,en,orange,orange
255,216,0,en,gold,gold
255,0,56,en,red,red
216,0,255,en,light purple,light purple
255,210,0,en,yellow,yellow
255,0,222,en,pink,pink
255,0,134,en,pink,pink
255,0,127,en,hot pink,hot pink
255,11,0,en,red,red
255,135,0,en,orange,orange
255,249,0,en,yellow,yellow
255,213,0,en,goldenrod,goldenrod
255,0,176,en,hot pink,hot pink
255,0,139,en,fuschia,fuschia
255,42,0,en,orange,orange
255,0,51,en,red,red
255,162,0,en,orange,orange
255,0,6,en,red,red
255,209,0,en,mustard yellow,mustard
