r,g,b,lang_code,chatgpt_raw,chatgpt_norm,chatgpt_min,gemini_raw,gemini_norm,gemini_min
205,0,255,en,purple,purple,purple,Magenta,magenta,magenta
0,255,110,en,green,green,green,Lime green,lime green,limegreen
0,255,163,en,green,green,green,Turquoise,turquoise,turquoise
0,178,255,en,blue,blue,blue,Deep Sky Blue,deep sky blue,deepskyblue
0,54,255,en,blue,blue,blue,Blue,blue,blue
172,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,211,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,0,109,en,pink,pink,pink,Hot pink,hot pink,hotpink
0,254,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
255,36,0,en,red,red,red,Red,red,red
222,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
0,255,127,en,green,green,green,Spring green,spring green,springgreen
0,120,255,en,blue,blue,blue,Blue,blue,blue
211,255,0,en,lime,lime,lime,Chartreuse,chartreuse,chartreuse
23,255,0,en,green,green,green,Neon green,neon green,neongreen
255,0,130,en,pink,pink,pink,Fuchsia,fuchsia,fuchsia
93,0,255,en,purple,purple,purple,Violet,violet,violet
96,0,255,en,purple,purple,purple,Blue Violet,blue violet,blueviolet
221,255,0,en,yellow,yellow,yellow,Neon yellow,neon yellow,neonyellow
0,255,164,en,green,green,green,Cyan,cyan,cyan
255,152,0,en,orange,orange,orange,Orange,orange,orange
6,255,0,en,green,green,green,Green,green,green
0,144,255,en,blue,blue,blue,Blue,blue,blue
255,0,109,en,pink,pink,pink,Hot pink,hot pink,hotpink
131,0,255,en,purple,purple,purple,Purple,purple,purple
255,0,177,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,34,0,en,red,red,red,Red,red,red
0,255,244,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,255,144,en,green,green,green,Spring green,spring green,springgreen
0,255,186,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
0,255,87,en,green,green,green,Neon green,neon green,neongreen
22,0,255,en,blue,blue,blue,Blue,blue,blue
181,0,255,en,purple,purple,purple,Purple,purple,purple
93,0,255,en,purple,purple,purple,Violet,violet,violet
255,0,72,en,red,red,red,Magenta,magenta,magenta
99,0,255,en,purple,purple,purple,Violet,violet,violet
0,37,255,en,blue,blue,blue,Blue,blue,blue
255,0,33,en,red,red,red,Red,red,red
235,255,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
255,96,0,en,orange,orange,orange,Orange,orange,orange
0,255,235,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
0,95,255,en,blue,blue,blue,Blue,blue,blue
0,255,121,en,green,green,green,Spring green,spring green,springgreen
0,185,255,en,blue,blue,blue,Deep Sky Blue,deep sky blue,deepskyblue
29,0,255,en,blue,blue,blue,Blue,blue,blue
255,24,0,en,red,red,red,Red,red,red
0,16,255,en,blue,blue,blue,Blue,blue,blue
0,131,255,en,blue,blue,blue,Blue,blue,blue
0,125,255,en,blue,blue,blue,Azure,azure,azure
115,0,255,en,purple,purple,purple,Violet,violet,violet
0,255,195,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
11,0,255,en,blue,blue,blue,Blue,blue,blue
147,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,81,0,en,orange,orange,orange,Orange,orange,orange
255,0,187,en,magenta,magenta,magenta,Pink,pink,pink
255,0,79,en,red,red,red,Hot pink,hot pink,hotpink
198,0,255,en,purple,purple,purple,Magenta,magenta,magenta
0,255,75,en,green,green,green,Lime green,lime green,limegreen
0,255,6,en,lime,lime,lime,Green,green,green
95,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
0,28,255,en,blue,blue,blue,Blue,blue,blue
0,255,137,en,green,green,green,Spring green,spring green,springgreen
255,167,0,en,orange,orange,orange,Orange,orange,orange
90,0,255,en,purple,purple,purple,Violet,violet,violet
0,120,255,en,blue,blue,blue,Blue,blue,blue
254,255,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
107,0,255,en,purple,purple,purple,Purple,purple,purple
0,255,164,en,green,green,green,Turquoise,turquoise,turquoise
35,0,255,en,blue,blue,blue,Blue,blue,blue
34,255,0,en,green,green,green,Lime green,lime green,limegreen
255,0,59,en,red,red,red,Cerise,cerise,cerise
70,255,0,en,green,green,green,Green,green,green
0,255,250,en,cyan,cyan,cyan,Cyan,cyan,cyan
255,0,64,en,red,red,red,Fuchsia,fuchsia,fuchsia
255,214,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
255,0,66,en,red,red,red,Magenta,magenta,magenta
161,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
0,33,255,en,blue,blue,blue,Blue,blue,blue
255,0,170,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,151,0,en,orange,orange,orange,Orange,orange,orange
0,255,0,en,green,green,green,Lime green,lime green,limegreen
39,255,0,en,green,green,green,Lime Green,lime green,limegreen
255,198,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
146,255,0,en,lime green,lime green,limegreen,Lime green,lime green,limegreen
255,188,0,en,yellow,yellow,yellow,Amber,amber,amber
0,255,199,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
41,255,0,en,green,green,green,Lime green,lime green,limegreen
9,0,255,en,blue,blue,blue,Blue,blue,blue
255,0,73,en,pink,pink,pink,Hot pink,hot pink,hotpink
83,255,0,en,green,green,green,Lime green,lime green,limegreen
0,255,168,en,green,green,green,Spring Green,spring green,springgreen
0,19,255,en,blue,blue,blue,Blue,blue,blue
174,0,255,en,purple,purple,purple,Purple,purple,purple
159,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,231,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,137,0,en,orange,orange,orange,Orange,orange,orange
29,0,255,en,blue,blue,blue,Blue,blue,blue
226,255,0,en,yellow,yellow,yellow,Fluorescent yellow,fluorescent yellow,fluorescentyellow
0,255,142,en,green,green,green,Sea Green,sea green,seagreen
161,0,255,en,purple,purple,purple,Purple,purple,purple
255,0,117,en,magenta,magenta,magenta,Hot pink,hot pink,hotpink
0,255,228,en,cyan,cyan,cyan,Cyan,cyan,cyan
73,0,255,en,purple,purple,purple,Violet,violet,violet
107,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
12,255,0,en,green,green,green,Lime green,lime green,limegreen
255,0,104,en,pink,pink,pink,Pink,pink,pink
255,4,0,en,red,red,red,Red,red,red
97,255,0,en,green,green,green,Lime green,lime green,limegreen
0,255,216,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
255,0,241,en,magenta,magenta,magenta,Magenta,magenta,magenta
0,255,48,en,green,green,green,Lime green,lime green,limegreen
255,0,24,en,red,red,red,Red,red,red
221,255,0,en,yellow,yellow,yellow,Neon yellow,neon yellow,neonyellow
0,255,69,en,green,green,green,Lime green,lime green,limegreen
255,35,0,en,red,red,red,Orange-red,orange-red,orangered
0,148,255,en,blue,blue,blue,Blue,blue,blue
127,0,255,en,purple,purple,purple,Violet,violet,violet
255,0,164,en,magenta,magenta,magenta,Fuchsia,fuchsia,fuchsia
255,0,198,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,15,0,en,red,red,red,Red,red,red
0,5,255,en,blue,blue,blue,Blue,blue,blue
156,255,0,en,lime,lime,lime,Chartreuse,chartreuse,chartreuse
255,216,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
255,0,69,en,red,red,red,Fuchsia,fuchsia,fuchsia
52,255,0,en,green,green,green,Lime Green,lime green,limegreen
0,255,18,en,green,green,green,Lime,lime,lime
0,255,69,en,green,green,green,Lime green,lime green,limegreen
255,65,0,en,orange,orange,orange,Orange,orange,orange
115,0,255,en,purple,purple,purple,Purple,purple,purple
255,0,94,en,pink,pink,pink,Hot pink,hot pink,hotpink
0,255,241,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,149,255,en,blue,blue,blue,Blue,blue,blue
0,25,255,en,blue,blue,blue,Blue,blue,blue
105,0,255,en,purple,purple,purple,Violet,violet,violet
255,135,0,en,orange,orange,orange,Orange,orange,orange
0,245,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,65,255,en,blue,blue,blue,Blue,blue,blue
255,0,115,en,pink,pink,pink,Fuchsia,fuchsia,fuchsia
0,40,255,en,blue,blue,blue,Blue,blue,blue
255,68,0,en,orange,orange,orange,Red-orange,red-orange,redorange
0,11,255,en,blue,blue,blue,Blue,blue,blue
0,255,212,en,cyan,cyan,cyan,Turquoise,turquoise,turquoise
126,0,255,en,purple,purple,purple,Purple,purple,purple
115,0,255,en,purple,purple,purple,Purple,purple,purple
162,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,167,en,magenta,magenta,magenta,Fuchsia,fuchsia,fuchsia
0,255,124,en,green,green,green,Spring green,spring green,springgreen
255,218,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
0,227,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
158,0,255,en,purple,purple,purple,Purple,purple,purple
0,255,209,en,turquoise,turquoise,turquoise,Cyan,cyan,cyan
87,255,0,en,lime,lime,lime,Lime,lime,lime
107,0,255,en,purple,purple,purple,Violet,violet,violet
255,100,0,en,orange,orange,orange,Orange,orange,orange
81,0,255,en,purple,purple,purple,Violet,violet,violet
183,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,113,0,en,orange,orange,orange,Orange,orange,orange
0,255,125,en,green,green,green,Bright green,bright green,brightgreen
0,255,63,en,green,green,green,Lime green,lime green,limegreen
0,255,165,en,green,green,green,Medium spring green,medium spring green,mediumspringgreen
255,0,36,en,red,red,red,Red,red,red
255,107,0,en,orange,orange,orange,Orange,orange,orange
0,255,30,en,green,green,green,Lime green,lime green,limegreen
49,0,255,en,blue,blue,blue,Blue,blue,blue
0,255,232,en,cyan,cyan,cyan,Cyan,cyan,cyan
255,84,0,en,orange,orange,orange,Orange,orange,orange
0,16,255,en,blue,blue,blue,Blue,blue,blue
255,0,3,en,red,red,red,Red,red,red
0,255,125,en,green,green,green,Spring green,spring green,springgreen
81,255,0,en,green,green,green,Lime green,lime green,limegreen
154,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,118,en,pink,pink,pink,Hot pink,hot pink,hotpink
255,0,197,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,134,0,en,orange,orange,orange,Orange,orange,orange
179,0,255,en,purple,purple,purple,Purple,purple,purple
112,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,64,0,en,orange,orange,orange,Orange,orange,orange
255,0,103,en,pink,pink,pink,Fuchsia,fuchsia,fuchsia
255,0,243,en,magenta,magenta,magenta,Magenta,magenta,magenta
227,255,0,en,yellow,yellow,yellow,Neon yellow,neon yellow,neonyellow
255,190,0,en,orange,orange,orange,Amber,amber,amber
213,255,0,en,lime,lime,lime,Chartreuse,chartreuse,chartreuse
65,0,255,en,blue,blue,blue,Blue,blue,blue
255,30,0,en,red,red,red,Red,red,red
255,194,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
84,255,0,en,green,green,green,Lime green,lime green,limegreen
0,59,255,en,blue,blue,blue,Blue,blue,blue
111,0,255,en,purple,purple,purple,Purple,purple,purple
0,125,255,en,blue,blue,blue,Dodger Blue,dodger blue,dodgerblue
48,0,255,en,blue,blue,blue,Blue,blue,blue
255,0,8,en,red,red,red,Red,red,red
229,255,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
74,0,255,en,purple,purple,purple,Ultramarine,ultramarine,ultramarine
101,0,255,en,purple,purple,purple,Violet,violet,violet
31,0,255,en,blue,blue,blue,Blue,blue,blue
0,255,149,en,green,green,green,Spring Green,spring green,springgreen
255,48,0,en,orange,orange,orange,Vermilion,vermilion,vermilion
165,255,0,en,lime,lime,lime,Chartreuse,chartreuse,chartreuse
232,255,0,en,yellow,yellow,yellow,Neon yellow,neon yellow,neonyellow
255,79,0,en,orange,orange,orange,Orange,orange,orange
246,0,255,en,magenta,magenta,magenta,Fuchsia,fuchsia,fuchsia
255,0,60,en,red,red,red,Hot pink,hot pink,hotpink
255,0,133,en,pink,pink,pink,Deep Pink,deep pink,deeppink
0,255,101,en,green,green,green,Green,green,green
0,179,255,en,blue,blue,blue,Sky blue,sky blue,skyblue
151,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
75,0,255,en,purple,purple,purple,Violet,violet,violet
129,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
101,0,255,en,purple,purple,purple,Violet,violet,violet
255,0,211,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,127,0,en,orange,orange,orange,Orange,orange,orange
255,0,212,en,magenta,magenta,magenta,Magenta,magenta,magenta
255,0,68,en,red,red,red,Magenta,magenta,magenta
255,253,0,en,yellow,yellow,yellow,Yellow,yellow,yellow
0,59,255,en,blue,blue,blue,Blue,blue,blue
0,255,85,en,green,green,green,Lime green,lime green,limegreen
0,255,138,en,green,green,green,Spring Green,spring green,springgreen
216,255,0,en,lime,lime,lime,Chartreuse,chartreuse,chartreuse
212,0,255,en,purple,purple,purple,Magenta,magenta,magenta
255,184,0,en,orange,orange,orange,Orange,orange,orange
131,255,0,en,lime green,lime green,limegreen,Lime green,lime green,limegreen
87,0,255,en,purple,purple,purple,Violet,violet,violet
221,255,0,en,lime,lime,lime,Neon yellow,neon yellow,neonyellow
127,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,26,en,red,red,red,Red,red,red
182,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
116,0,255,en,purple,purple,purple,Purple,purple,purple
255,0,46,en,red,red,red,Red,red,red
0,190,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
255,0,231,en,magenta,magenta,magenta,Magenta,magenta,magenta
135,0,255,en,purple,purple,purple,Purple,purple,purple
68,255,0,en,lime green,lime green,limegreen,Lime Green,lime green,limegreen
255,158,0,en,orange,orange,orange,Orange,orange,orange
255,53,0,en,orange,orange,orange,Red,red,red
0,252,255,en,cyan,cyan,cyan,Cyan,cyan,cyan
99,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,0,187,en,magenta,magenta,magenta,Magenta,magenta,magenta
0,255,246,en,cyan,cyan,cyan,Cyan,cyan,cyan
106,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
255,64,0,en,orange,orange,orange,Orangered,orange red,orangered
78,255,0,en,green,green,green,Lime green,lime green,limegreen
255,48,0,en,orange,orange,orange,Vermilion,vermilion,vermilion
193,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
79,0,255,en,purple,purple,purple,Violet,violet,violet
87,255,0,en,green,green,green,Lime green,lime green,limegreen
69,255,0,en,green,green,green,Lime green,lime green,limegreen
0,202,255,en,cyan,cyan,cyan,Deep Sky Blue,deep sky blue,deepskyblue
127,0,255,en,purple,purple,purple,Violet,violet,violet
42,255,0,en,green,green,green,Lime green,lime green,limegreen
25,0,255,en,blue,blue,blue,Blue,blue,blue
0,255,40,en,green,green,green,Bright green,bright green,brightgreen
0,255,147,en,green,green,green,Spring Green,spring green,springgreen
0,255,26,en,green,green,green,Lime green,lime green,limegreen
0,60,255,en,blue,blue,blue,Electric blue,electric blue,electricblue
0,255,147,en,green,green,green,Spring green,spring green,springgreen
53,0,255,en,blue,blue,blue,Blue,blue,blue
0,161,255,en,blue,blue,blue,Bright blue,bright blue,brightblue
0,30,255,en,blue,blue,blue,Blue,blue,blue
255,52,0,en,orange,orange,orange,Vermilion,vermilion,vermilion
135,0,255,en,purple,purple,purple,Violet,violet,violet
113,255,0,en,green,green,green,Lime green,lime green,limegreen
255,35,0,en,red,red,red,Scarlet,scarlet,scarlet
149,0,255,en,purple,purple,purple,Purple,purple,purple
0,102,255,en,blue,blue,blue,Blue,blue,blue
133,255,0,en,lime,lime,lime,Lime green,lime green,limegreen
235,0,255,en,magenta,magenta,magenta,Magenta,magenta,magenta
42,255,0,en,green,green,green,Green,green,green
0,255,141,en,green,green,green,Spring green,spring green,springgreen
0,255,169,en,turquoise,turquoise,turquoise,Aqua,aqua,aqua
49,255,0,en,green,green,green,Lime green,lime green,limegreen
255,195,0,en,yellow,yellow,yellow,Gold,gold,gold
0,255,33,en,green,green,green,Lime,lime,lime
0,255,245,en,cyan,cyan,cyan,Cyan,cyan,cyan
0,0,255,en,blue,blue,blue,Blue,blue,blue
