r,g,b,lang_code,gpt_raw,gpt_norm,gpt_min,gemini_raw,gemini_norm,gemini_min
34,101,29,ko,초록색,초록,초록,진녹색,진녹,진녹
36,115,212,ko,파랑,파랑,파랑,파란색,파랑,파랑
212,81,59,ko,주황색,주황,주황,다홍색,다홍,다홍
124,252,25,ko,연두색,연두,연두,연두색,연두,연두
91,57,190,ko,보라색,보라,보라,보라색,보라,보라
47,171,196,ko,청록색,청록,청록,청록색,청록,청록
201,79,178,ko,보라색,보라,보라,자주색,자주,자주
12,91,167,ko,파란색,파랑,파랑,파란색,파랑,파랑
150,198,18,ko,연두색,연두,연두,연두색,연두,연두
237,222,44,ko,노란색,노랑,노랑,노란색,노랑,노랑
103,26,75,ko,자주색,자주,자주,자주색,자주,자주
97,165,9,ko,연두색,연두,연두,연두색,연두,연두
248,141,27,ko,주황색,주황,주황,주황색,주황,주황
54,209,222,ko,청록색,청록,청록,청록색,청록,청록
22,15,174,ko,파랑,파랑,파랑,파랑,파랑,파랑
58,158,161,ko,청록색,청록,청록,청록색,청록,청록
171,72,163,ko,보라색,보라,보라,자주색,자주,자주
160,206,20,ko,연두색,연두,연두,연두색,연두,연두
213,202,221,ko,라벤더그레이,라벤더그레이,라벤더그레이,연보라색,연보라,연보라
163,68,21,ko,주황색,주황,주황,테라코타색,테라코타,테라코타
162,246,227,ko,민트색,민트,민트,민트색,민트,민트
36,12,225,ko,보라색,보라,보라,파란색,파랑,파랑
208,103,199,ko,보라색,보라,보라,보라색,보라,보라
23,191,84,ko,초록색,초록,초록,초록색,초록,초록
111,210,101,ko,연두색,연두,연두,연두색,연두,연두
126,48,184,ko,보라색,보라,보라,보라색,보라,보라
207,52,152,ko,분홍색,분홍,분홍,마젠타,마젠타,마젠타
25,17,46,ko,남색,남,남,짙은 보라색,짙은 보라,짙은보라
215,170,117,ko,베이지,베이지,베이지,황토색,황토,황토
30,136,141,ko,청록색,청록,청록,청록색,청록,청록
147,211,65,ko,연두색,연두,연두,연두색,연두,연두
167,191,91,ko,연두색,연두,연두,연두색,연두,연두
71,51,93,ko,보라색,보라,보라,가지색,가지,가지
107,17,117,ko,보라색,보라,보라,보라색,보라,보라
216,29,3,ko,빨간색,빨강,빨강,빨강,빨강,빨강
156,76,187,ko,보라색,보라,보라,보라색,보라,보라
229,51,5,ko,주황색,주황,주황,주황색,주황,주황
203,0,155,ko,자주색,자주,자주,마젠타,마젠타,마젠타
131,13,10,ko,빨간색,빨강,빨강,암적색,암적,암적
8,24,79,ko,남색,남,남,남색,남,남
167,170,139,ko,카키색,카키,카키,쑥색,쑥,쑥
64,75,190,ko,파랑,파랑,파랑,남색,남,남
107,252,64,ko,연두색,연두,연두,연두색,연두,연두
31,158,190,ko,청록색,청록,청록,청록색,청록,청록
198,187,239,ko,연보라,연보라,연보라,라벤더,라벤더,라벤더
102,107,245,ko,파란색,파랑,파랑,청보라색,청보라,청보라
113,191,79,ko,연두색,연두,연두,라임색,라임,라임
45,18,14,ko,갈색,갈,갈,고동색,고동,고동
197,77,139,ko,분홍색,분홍,분홍,자홍색,자홍,자홍
119,254,180,ko,연두색,연두,연두,민트색,민트,민트
206,121,56,ko,주황색,주황,주황,벽돌색,벽돌,벽돌
112,215,67,ko,연두색,연두,연두,연두색,연두,연두
94,126,59,ko,올리브색,올리브,올리브,올리브색,올리브,올리브
6,197,85,ko,초록색,초록,초록,초록색,초록,초록
100,209,246,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
50,83,5,ko,초록색,초록,초록,어두운 녹색,어두운 녹,어두운녹
195,195,236,ko,연보라색,연보라,연보라,연보라색,연보라,연보라
159,29,137,ko,보라색,보라,보라,자주색,자주,자주
233,87,28,ko,주황색,주황,주황,주황색,주황,주황
43,87,62,ko,초록색,초록,초록,진초록,진초록,진초록
172,180,163,ko,연두색,연두,연두,쑥색,쑥,쑥
41,181,51,ko,초록색,초록,초록,초록색,초록,초록
42,73,107,ko,파란색,파랑,파랑,남색,남,남
191,221,176,ko,연두색,연두,연두,연두색,연두,연두
122,60,67,ko,갈색,갈,갈,와인색,와인,와인
231,126,14,ko,주황색,주황,주황,주황색,주황,주황
219,35,215,ko,보라색,보라,보라,마젠타,마젠타,마젠타
105,20,85,ko,자주색,자주,자주,자주색,자주,자주
116,74,202,ko,보라색,보라,보라,보라색,보라,보라
176,67,123,ko,자주색,자주,자주,자주색,자주,자주
51,158,95,ko,초록색,초록,초록,초록색,초록,초록
223,215,111,ko,노란색,노랑,노랑,연노란색,연노랑,연노랑
208,17,178,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
65,77,147,ko,남색,남,남,남색,남,남
78,142,101,ko,초록색,초록,초록,청록색,청록,청록
135,76,7,ko,갈색,갈,갈,황갈색,황갈,황갈
21,73,161,ko,파란색,파랑,파랑,로얄 블루,로얄 블루,로얄블루
182,19,54,ko,빨강,빨강,빨강,크림슨,크림슨,크림슨
234,254,54,ko,노란색,노랑,노랑,노란색,노랑,노랑
