r,g,b,lang_code,gpt_raw,gpt_norm,gpt_min,gemini_raw,gemini_norm,gemini_min
255,0,5,ko,빨강,빨강,빨강,빨간색,빨강,빨강
255,0,79,ko,분홍색,분홍,분홍,자홍색,자홍,자홍
185,255,0,ko,연두색,연두,연두,연두색,연두,연두
255,0,141,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
156,0,255,ko,보라색,보라,보라,보라색,보라,보라
255,0,54,ko,빨강,빨강,빨강,진홍색,진홍,진홍
255,0,247,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
249,0,255,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
169,0,255,ko,보라색,보라,보라,보라색,보라,보라
0,255,109,ko,초록색,초록,초록,연두색,연두,연두
0,209,255,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
0,61,255,ko,파랑,파랑,파랑,파란색,파랑,파랑
184,255,0,ko,연두색,연두,연두,형광 라임색,형광 라임,형광라임
15,0,255,ko,파랑,파랑,파랑,파랑,파랑,파랑
0,255,158,ko,민트색,민트,민트,청록색,청록,청록
0,255,52,ko,초록색,초록,초록,초록색,초록,초록
0,255,209,ko,청록색,청록,청록,청록색,청록,청록
255,173,0,ko,주황색,주황,주황,주황색,주황,주황
255,0,90,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
0,255,31,ko,초록색,초록,초록,초록색,초록,초록
0,255,226,ko,청록색,청록,청록,시안,시안,시안
255,0,16,ko,빨간색,빨강,빨강,빨간색,빨강,빨강
255,0,218,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
192,255,0,ko,연두색,연두,연두,연두색,연두,연두
255,0,140,ko,분홍색,분홍,분홍,핑크,핑크,핑크
255,0,186,ko,자홍색,자홍,자홍,핑크,핑크,핑크
255,0,38,ko,빨강,빨강,빨강,빨간색,빨강,빨강
255,45,0,ko,주황색,주황,주황,다홍색,다홍,다홍
50,0,255,ko,파랑,파랑,파랑,파란색,파랑,파랑
0,235,255,ko,청록색,청록,청록,시안,시안,시안
0,71,255,ko,파랑,파랑,파랑,파란색,파랑,파랑
33,0,255,ko,파랑,파랑,파랑,파랑,파랑,파랑
255,233,0,ko,노란색,노랑,노랑,노란색,노랑,노랑
255,0,161,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
217,0,255,ko,보라색,보라,보라,마젠타,마젠타,마젠타
110,255,0,ko,연두색,연두,연두,연두색,연두,연두
36,0,255,ko,파랑,파랑,파랑,파란색,파랑,파랑
0,255,127,ko,연두색,연두,연두,초록색,초록,초록
232,255,0,ko,노란색,노랑,노랑,노란색,노랑,노랑
87,255,0,ko,연두색,연두,연두,형광 초록색,형광 초록,형광초록
150,0,255,ko,보라색,보라,보라,보라색,보라,보라
47,255,0,ko,연두색,연두,연두,초록색,초록,초록
255,0,225,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
255,0,178,ko,자홍색,자홍,자홍,자홍색,자홍,자홍
0,255,112,ko,연두색,연두,연두,초록색,초록,초록
234,255,0,ko,노란색,노랑,노랑,노란색,노랑,노랑
188,255,0,ko,연두색,연두,연두,라임색,라임,라임
255,159,0,ko,주황색,주황,주황,주황색,주황,주황
255,152,0,ko,주황색,주황,주황,주황색,주황,주황
0,216,255,ko,하늘색,하늘,하늘,청록색,청록,청록
255,50,0,ko,주황색,주황,주황,다홍,다홍,다홍
255,30,0,ko,빨간색,빨강,빨강,빨강,빨강,빨강
176,0,255,ko,보라색,보라,보라,보라색,보라,보라
0,183,255,ko,하늘색,하늘,하늘,파란색,파랑,파랑
255,0,185,ko,자홍색,자홍,자홍,핫핑크,핫핑크,핫핑크
0,255,110,ko,형광초록,형광초록,형광초록,초록색,초록,초록
194,0,255,ko,보라색,보라,보라,마젠타색,마젠타,마젠타
255,186,0,ko,주황색,주황,주황,주황색,주황,주황
0,255,145,ko,청록색,청록,청록,청록색,청록,청록
39,0,255,ko,파랑,파랑,파랑,파란색,파랑,파랑
255,0,217,ko,마젠타,마젠타,마젠타,마젠타,마젠타,마젠타
0,27,255,ko,파랑,파랑,파랑,파랑,파랑,파랑
255,216,0,ko,노란색,노랑,노랑,노란색,노랑,노랑
16,255,0,ko,초록색,초록,초록,형광 연두색,형광 연두,형광연두
255,236,0,ko,노란색,노랑,노랑,노란색,노랑,노랑
76,0,255,ko,보라색,보라,보라,군청색,군청,군청
255,82,0,ko,주황색,주황,주황,주황색,주황,주황
0,164,255,ko,하늘색,하늘,하늘,파란색,파랑,파랑
0,159,255,ko,하늘색,하늘,하늘,파란색,파랑,파랑
255,0,181,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
255,0,144,ko,자홍색,자홍,자홍,핫핑크,핫핑크,핫핑크
220,255,0,ko,연두색,연두,연두,형광 노랑,형광 노랑,형광노랑
0,211,255,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
255,0,0,ko,빨강,빨강,빨강,빨간색,빨강,빨강
239,0,255,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
0,255,67,ko,초록색,초록,초록,초록색,초록,초록
255,0,127,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
76,255,0,ko,연두색,연두,연두,초록색,초록,초록
233,255,0,ko,노란색,노랑,노랑,노랑,노랑,노랑
0,55,255,ko,파란색,파랑,파랑,파란색,파랑,파랑
28,255,0,ko,초록색,초록,초록,초록색,초록,초록
222,255,0,ko,라임색,라임,라임,노란색,노랑,노랑
255,0,232,ko,자홍색,자홍,자홍,자홍색,자홍,자홍
0,197,255,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
204,255,0,ko,라임색,라임,라임,연두색,연두,연두
255,0,205,ko,자홍색,자홍,자홍,마젠타,마젠타,마젠타
255,236,0,ko,노란색,노랑,노랑,노란색,노랑,노랑
255,0,164,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
43,0,255,ko,파란색,파랑,파랑,청색,청,청
0,255,241,ko,청록색,청록,청록,청록색,청록,청록
0,206,255,ko,하늘색,하늘,하늘,하늘색,하늘,하늘
97,0,255,ko,보라색,보라,보라,보라색,보라,보라
255,0,63,ko,빨간색,빨강,빨강,핫핑크,핫핑크,핫핑크
0,57,255,ko,파랑,파랑,파랑,파란색,파랑,파랑
255,0,28,ko,빨강,빨강,빨강,빨강,빨강,빨강
255,149,0,ko,주황색,주황,주황,주황색,주황,주황
255,0,155,ko,분홍색,분홍,분홍,핫핑크,핫핑크,핫핑크
255,0,156,ko,자홍색,자홍,자홍,핫핑크,핫핑크,핫핑크
255,41,0,ko,주황색,주황,주황,다홍색,다홍,다홍
52,0,255,ko,파랑,파랑,파랑,파란색,파랑,파랑
116,255,0,ko,연두색,연두,연두,라임색,라임,라임
255,141,0,ko,주황색,주황,주황,주황색,주황,주황
19,255,0,ko,연두색,연두,연두,초록색,초록,초록
79,255,0,ko,연두색,연두,연두,초록색,초록,초록
255,55,0,ko,주황색,주황,주황,주황색,주황,주황
0,122,255,ko,파랑,파랑,파랑,파랑,파랑,파랑
245,255,0,ko,노란색,노랑,노랑,노란색,노랑,노랑
255,180,0,ko,주황색,주황,주황,주황색,주황,주황
198,255,0,ko,연두색,연두,연두,연두색,연두,연두
255,222,0,ko,노란색,노랑,노랑,노란색,노랑,노랑
