r,g,b,lang_code,gpt_raw,gpt_norm,gpt_min,gemini_raw,gemini_norm,gemini_min
141,115,253,zh,紫色,紫,紫,紫色,紫,紫
168,196,213,zh,蓝色,蓝,蓝,浅蓝色,浅蓝,浅蓝
26,176,189,zh,青色,青,青,绿松石色,绿松石,绿松石
142,45,55,zh,棕红色,棕红,棕红,酒红色,酒红,酒红
24,223,175,zh,绿色,绿,绿,青色,青,青
235,237,32,zh,黄色,黄,黄,黄色,黄,黄
7,253,74,zh,绿色,绿,绿,绿色,绿,绿
207,184,57,zh,黄色,黄,黄,金黄色,金黄,金黄
167,115,187,zh,紫色,紫,紫,紫色,紫,紫
13,209,168,zh,绿色,绿,绿,青色,青,青
164,245,143,zh,浅绿色,浅绿,浅绿,浅绿色,浅绿,浅绿
165,103,82,zh,棕色,棕,棕,陶土色,陶土,陶土
234,15,228,zh,品红,品红,品红,品红色,品红,品红
73,100,140,zh,蓝色,蓝,蓝,灰蓝色,灰蓝,灰蓝
237,215,159,zh,米黄色,米黄,米黄,米色,米,米
244,159,117,zh,橙色,橙,橙,蜜桃色,蜜桃,蜜桃
179,169,15,zh,黄绿色,黄绿,黄绿,橄榄绿,橄榄绿,橄榄绿
44,179,10,zh,绿色,绿,绿,绿色,绿,绿
218,156,73,zh,橙色,橙,橙,焦糖色,焦糖,焦糖
36,83,24,zh,绿色,绿,绿,深绿色,深绿,深绿
251,26,155,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
45,200,182,zh,青绿色,青绿,青绿,松石绿,松石绿,松石绿
200,153,172,zh,粉色,粉,粉,藕粉色,藕粉,藕粉
122,102,100,zh,棕色,棕,棕,豆沙色,豆沙,豆沙
110,63,25,zh,棕色,棕,棕,棕色,棕,棕
152,33,57,zh,暗红色,暗红,暗红,酒红色,酒红,酒红
145,156,224,zh,蓝色,蓝,蓝,淡紫色,淡紫,淡紫
172,91,127,zh,紫红色,紫红,紫红,洋红色,洋红,洋红
243,99,127,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
243,75,209,zh,粉色,粉,粉,洋红色,洋红,洋红
4,194,254,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
141,248,147,zh,绿色,绿,绿,浅绿色,浅绿,浅绿
6,223,107,zh,绿色,绿,绿,绿色,绿,绿
193,162,58,zh,黄色,黄,黄,土黄色,土黄,土黄
133,33,221,zh,紫色,紫,紫,紫色,紫,紫
13,220,86,zh,绿色,绿,绿,绿色,绿,绿
255,104,20,zh,橙色,橙,橙,橙色,橙,橙
254,231,108,zh,黄色,黄,黄,黄色,黄,黄
243,59,148,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
10,155,254,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
60,60,19,zh,橄榄绿,橄榄绿,橄榄绿,橄榄绿,橄榄绿,橄榄绿
194,111,213,zh,紫色,紫,紫,紫色,紫,紫
168,87,129,zh,紫红色,紫红,紫红,洋红色,洋红,洋红
139,147,107,zh,橄榄绿,橄榄绿,橄榄绿,橄榄绿,橄榄绿,橄榄绿
154,21,230,zh,紫色,紫,紫,紫色,紫,紫
140,68,103,zh,紫红色,紫红,紫红,紫红色,紫红,紫红
220,61,141,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
178,207,113,zh,浅绿色,浅绿,浅绿,黄绿色,黄绿,黄绿
191,68,84,zh,红色,红,红,砖红色,砖红,砖红
54,241,7,zh,绿色,绿,绿,绿色,绿,绿
118,130,121,zh,灰色,灰,灰,灰绿色,灰绿,灰绿
28,27,166,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
73,251,20,zh,绿色,绿,绿,绿色,绿,绿
22,183,247,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
131,70,14,zh,棕色,棕,棕,棕色,棕,棕
63,118,235,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
142,228,205,zh,浅绿色,浅绿,浅绿,薄荷绿,薄荷绿,薄荷绿
201,133,9,zh,橙色,橙,橙,橘黄色,橘黄,橘黄
151,213,30,zh,黄绿色,黄绿,黄绿,柠檬绿,柠檬绿,柠檬绿
124,175,205,zh,浅蓝色,浅蓝,浅蓝,灰蓝色,灰蓝,灰蓝
10,168,152,zh,青绿色,青绿,青绿,水鸭色,水鸭,水鸭
15,92,26,zh,绿色,绿,绿,深绿色,深绿,深绿
235,124,239,zh,粉色,粉,粉,浅紫色,浅紫,浅紫
46,217,171,zh,绿色,绿,绿,青色,青,青
68,136,209,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
106,93,219,zh,紫色,紫,紫,紫色,紫,紫
116,135,90,zh,卡其色,卡其,卡其,橄榄绿,橄榄绿,橄榄绿
119,86,240,zh,紫色,紫,紫,紫色,紫,紫
140,131,187,zh,紫色,紫,紫,紫色,紫,紫
159,196,131,zh,浅绿色,浅绿,浅绿,鼠尾草绿,鼠尾草绿,鼠尾草绿
251,121,251,zh,粉色,粉,粉,粉色,粉,粉
184,195,221,zh,浅蓝色,浅蓝,浅蓝,淡蓝色,淡蓝,淡蓝
29,21,170,zh,蓝色,蓝,蓝,深蓝色,深蓝,深蓝
253,53,167,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
227,113,26,zh,橙色,橙,橙,橙色,橙,橙
126,24,149,zh,紫色,紫,紫,紫色,紫,紫
123,77,238,zh,紫色,紫,紫,紫色,紫,紫
128,153,59,zh,绿色,绿,绿,橄榄绿,橄榄绿,橄榄绿
198,174,14,zh,黄色,黄,黄,金黄色,金黄,金黄
43,126,83,zh,绿色,绿,绿,深绿色,深绿,深绿
186,23,144,zh,洋红,洋红,洋红,品红,品红,品红
173,139,30,zh,金色,金,金,土黄色,土黄,土黄
15,149,1,zh,绿色,绿,绿,绿色,绿,绿
33,25,193,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
226,229,215,zh,浅绿色,浅绿,浅绿,灰绿色,灰绿,灰绿
40,106,162,zh,蓝色,蓝,蓝,宝蓝色,宝蓝,宝蓝
150,247,106,zh,浅绿色,浅绿,浅绿,荧光绿,荧光绿,荧光绿
73,32,183,zh,紫色,紫,紫,紫色,紫,紫
78,212,65,zh,绿色,绿,绿,绿色,绿,绿
