r,g,b,lang_code,chatgpt_raw,chatgpt_norm,chatgpt_min,gemini_raw,gemini_norm,gemini_min
0,91,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
44,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
105,0,255,zh,紫色,紫,紫,紫色,紫,紫
22,255,0,zh,绿色,绿,绿,绿色,绿,绿
173,0,255,zh,紫色,紫,紫,紫色,紫,紫
196,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,255,213,zh,青绿色,青绿,青绿,青色,青,青
255,0,213,zh,洋红,洋红,洋红,品红色,品红,品红
255,0,246,zh,品红,品红,品红,洋红色,洋红,洋红
0,237,255,zh,青色,青,青,青色,青,青
70,0,255,zh,紫色,紫,紫,蓝色,蓝,蓝
255,0,53,zh,红色,红,红,玫红色,玫瑰,玫瑰
0,255,240,zh,青色,青,青,青色,青,青
255,21,0,zh,红色,红,红,红色,红,红
255,173,0,zh,橙色,橙,橙,橙色,橙,橙
255,186,0,zh,橙色,橙,橙,橙色,橙,橙
255,0,51,zh,红色,红,红,红色,红,红
0,255,201,zh,青绿色,青绿,青绿,青色,青,青
212,255,0,zh,黄色,黄,黄,柠檬黄,柠檬黄,柠檬黄
255,0,225,zh,品红,品红,品红,品红色,品红,品红
5,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,233,zh,青色,青,青,青色,青,青
109,255,0,zh,绿色,绿,绿,柠檬绿,柠檬绿,柠檬绿
101,0,255,zh,紫色,紫,紫,紫色,紫,紫
255,200,0,zh,黄色,黄,黄,黄色,黄,黄
0,97,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,0,103,zh,品红,品红,品红,玫红色,玫瑰,玫瑰
255,0,154,zh,洋红,洋红,洋红,洋红色,洋红,洋红
255,0,164,zh,洋红,洋红,洋红,洋红,洋红,洋红
255,0,175,zh,品红,品红,品红,品红色,品红,品红
0,255,223,zh,青绿色,青绿,青绿,湖蓝色,湖蓝,湖蓝
255,184,0,zh,橙色,橙,橙,橙色,橙,橙
161,255,0,zh,绿色,绿,绿,柠檬绿,柠檬绿,柠檬绿
0,211,255,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
255,69,0,zh,橙色,橙,橙,橙色,橙,橙
24,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,0,200,zh,洋红,洋红,洋红,品红色,品红,品红
0,209,255,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
255,0,2,zh,红色,红,红,红色,红,红
255,0,62,zh,红色,红,红,玫红色,玫瑰,玫瑰
188,0,255,zh,紫色,紫,紫,紫色,紫,紫
240,0,255,zh,品红,品红,品红,品红色,品红,品红
0,255,159,zh,绿色,绿,绿,青色,青,青
255,0,200,zh,洋红,洋红,洋红,品红,品红,品红
0,174,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,227,zh,青色,青,青,青色,青,青
255,104,0,zh,橙色,橙,橙,橙色,橙,橙
255,0,213,zh,洋红,洋红,洋红,洋红色,洋红,洋红
255,0,46,zh,红色,红,红,红色,红,红
255,0,246,zh,洋红,洋红,洋红,品红,品红,品红
0,255,4,zh,绿色,绿,绿,绿色,绿,绿
0,255,6,zh,绿色,绿,绿,绿色,绿,绿
72,0,255,zh,紫色,紫,紫,蓝紫色,蓝紫,蓝紫
0,152,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
187,255,0,zh,荧光绿,荧光绿,荧光绿,柠檬绿,柠檬绿,柠檬绿
0,240,255,zh,青色,青,青,青色,青,青
255,146,0,zh,橙色,橙,橙,橙色,橙,橙
255,122,0,zh,橙色,橙,橙,橙色,橙,橙
84,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,255,156,zh,绿色,绿,绿,青色,青,青
0,255,12,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,84,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,71,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
0,255,227,zh,青色,青,青,青色,青,青
0,7,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
69,255,0,zh,绿色,绿,绿,绿色,绿,绿
0,156,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
107,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,196,255,zh,蓝色,蓝,蓝,天蓝色,天蓝,天蓝
29,255,0,zh,绿色,绿,绿,绿色,绿,绿
255,0,203,zh,洋红,洋红,洋红,品红色,品红,品红
255,0,143,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
43,255,0,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,97,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
255,0,162,zh,粉色,粉,粉,玫红色,玫瑰,玫瑰
43,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
253,255,0,zh,黄色,黄,黄,黄色,黄,黄
255,0,133,zh,品红,品红,品红,玫红色,玫瑰,玫瑰
166,255,0,zh,黄绿色,黄绿,黄绿,柠檬绿,柠檬绿,柠檬绿
123,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,255,218,zh,青绿色,青绿,青绿,青色,青,青
26,255,0,zh,绿色,绿,绿,绿色,绿,绿
4,0,255,zh,蓝色,蓝,蓝,蓝色,蓝,蓝
129,255,0,zh,绿色,绿,绿,荧光绿,荧光绿,荧光绿
0,249,255,zh,青色,青,青,青色,青,青
0,255,97,zh,绿色,绿,绿,亮绿色,亮绿,亮绿
153,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,255,242,zh,青色,青,青,青色,青,青
35,255,0,zh,绿色,绿,绿,绿色,绿,绿
0,255,75,zh,绿色,绿,绿,绿色,绿,绿
209,255,0,zh,黄绿色,黄绿,黄绿,黄绿色,黄绿,黄绿
205,0,255,zh,紫色,紫,紫,品红色,品红,品红
0,255,110,zh,绿色,绿,绿,绿色,绿,绿
255,0,188,zh,洋红,洋红,洋红,玫红色,玫瑰,玫瑰
90,0,255,zh,紫色,紫,紫,紫色,紫,紫
0,255,233,zh,青色,青,青,青色,青,青
175,255,0,zh,亮绿色,亮绿,亮绿,荧光绿,荧光绿,荧光绿
0,239,255,zh,青色,青,青,青色,青,青
218,255,0,zh,黄绿色,黄绿,黄绿,荧光黄,荧光黄,荧光黄
255,0,4,zh,红色,红,红,红色,红,红
0,255,175,zh,青绿色,青绿,青绿,青色,青,青
255,0,2,zh,红色,红,红,红色,红,红
