r,g,b,lang_code,chatgpt,gemini
206,211,109,en,yellow-green,Pistachio
5,0,247,en,blue,Blue
147,75,179,en,purple,Purple
57,180,18,en,green,Lime green
153,154,191,en,lavender,Lavender
104,210,87,en,green,Lime green
109,114,54,en,olive,Olive green
86,211,26,en,green,Lime Green
54,40,204,en,blue,Royal Blue
190,83,249,en,purple,Purple
30,144,27,en,green,Green
235,229,41,en,yellow,Yellow
72,109,144,en,blue,Steel blue
61,118,118,en,teal,Teal
68,54,222,en,blue,Royal Blue
110,72,71,en,brown,Red-brown
138,111,176,en,purple,Medium Purple
36,187,206,en,turquoise,Turquoise
89,230,67,en,green,Lime green
202,123,143,en,pink,Rose
73,38,146,en,purple,Indigo
214,173,146,en,peach,Tan
172,184,125,en,green,Olive green
164,188,75,en,green,Olive green
97,7,89,en,purple,Deep purple
133,106,188,en,purple,Purple
127,186,202,en,light blue,Sky blue
203,214,174,en,light green,Sage green
100,37,22,en,brown,Chestnut
181,209,183,en,light green,Celadon
173,41,91,en,magenta,Cerise
60,170,131,en,green,Sea green
64,48,130,en,purple,Indigo
155,198,69,en,yellow-green,Lime green
72,182,189,en,turquoise,Turquoise
2,250,214,en,cyan,Cyan
121,51,61,en,maroon,Maroon
39,236,187,en,turquoise,Turquoise
116,16,0,en,dark red,Maroon
254,162,111,en,orange,Peach
238,124,200,en,pink,Hot pink
222,88,13,en,orange,Burnt orange
206,12,125,en,magenta,Magenta
142,97,123,en,purple,Mauve
183,193,188,en,gray,Sage green
205,122,253,en,purple,Purple
232,155,159,en,pink,Rose pink
240,98,196,en,pink,Hot pink
233,60,54,en,red,Scarlet
225,109,207,en,pink,Fuchsia
192,59,23,en,orange,Burnt orange
164,187,26,en,yellow-green,Pea green
219,108,153,en,pink,Cerise
107,227,18,en,green,Lime green
44,9,19,en,maroon,Burgundy
94,212,53,en,green,Lime green
200,211,156,en,light green,Pistachio
75,89,165,en,blue,Indigo
207,36,131,en,magenta,Fuchsia
195,211,183,en,green,Sage green
0,106,171,en,blue,Blue
73,8,71,en,purple,Purple
100,37,155,en,purple,Purple
27,252,30,en,green,Green
236,156,81,en,orange,Orange
90,228,232,en,cyan,Cyan
134,62,112,en,purple,Purple
135,96,0,en,brown,Bronze
89,39,159,en,purple,Purple
54,148,219,en,blue,Azure
152,43,40,en,red,Maroon
163,66,83,en,red,Raspberry
124,251,135,en,green,Light green
33,3,194,en,blue,Blue
220,58,44,en,red,Scarlet
80,238,15,en,green,Lime green
3,114,86,en,green,Forest Green
15,85,167,en,blue,Royal blue
141,146,82,en,olive green,Olive green
158,220,237,en,light blue,Sky blue
175,220,93,en,light green,Lime green
36,237,35,en,green,Lime green
103,214,115,en,green,Lime green
