r,g,b,lang_code,chatgpt,gemini
34,101,29,ko,초록색,진녹색
36,115,212,ko,파랑,파란색
212,81,59,ko,주황색,다홍색
124,252,25,ko,연두색,연두색
91,57,190,ko,보라색,보라색
47,171,196,ko,청록색,청록색
201,79,178,ko,보라색,자주색
12,91,167,ko,파란색,파란색
150,198,18,ko,연두색,연두색
237,222,44,ko,노란색,노란색
103,26,75,ko,자주색,자주색
97,165,9,ko,연두색,연두색
248,141,27,ko,주황색,주황색
54,209,222,ko,청록색,청록색
22,15,174,ko,파랑,파랑
58,158,161,ko,청록색,청록색
171,72,163,ko,보라색,자주색
160,206,20,ko,연두색,연두색
213,202,221,ko,라벤더그레이,연보라색
163,68,21,ko,주황색,테라코타색
162,246,227,ko,민트색,민트색
36,12,225,ko,보라색,파란색
208,103,199,ko,보라색,보라색
23,191,84,ko,초록색,초록색
111,210,101,ko,연두색,연두색
126,48,184,ko,보라색,보라색
207,52,152,ko,분홍색,마젠타
25,17,46,ko,남색,짙은 보라색
215,170,117,ko,베이지,황토색
30,136,141,ko,청록색,청록색
147,211,65,ko,연두색,연두색
167,191,91,ko,연두색,연두색
71,51,93,ko,보라색,가지색
107,17,117,ko,보라색,보라색
216,29,3,ko,빨간색,빨강
156,76,187,ko,보라색,보라색
229,51,5,ko,주황색,주황색
203,0,155,ko,자주색,마젠타
131,13,10,ko,빨간색,암적색
8,24,79,ko,남색,남색
167,170,139,ko,카키색,쑥색
64,75,190,ko,파랑,남색
107,252,64,ko,연두색,연두색
31,158,190,ko,청록색,청록색
198,187,239,ko,연보라,라벤더
102,107,245,ko,파란색,청보라색
113,191,79,ko,연두색,라임색
45,18,14,ko,갈색,고동색
197,77,139,ko,분홍색,자홍색
119,254,180,ko,연두색,민트색
206,121,56,ko,주황색,벽돌색
112,215,67,ko,연두색,연두색
94,126,59,ko,올리브색,올리브색
6,197,85,ko,초록색,초록색
100,209,246,ko,하늘색,하늘색
50,83,5,ko,초록색,어두운 녹색
195,195,236,ko,연보라색,연보라색
159,29,137,ko,보라색,자주색
233,87,28,ko,주황색,주황색
43,87,62,ko,초록색,진초록
172,180,163,ko,연두색,쑥색
41,181,51,ko,초록색,초록색
42,73,107,ko,파란색,남색
191,221,176,ko,연두색,연두색
122,60,67,ko,갈색,와인색
231,126,14,ko,주황색,주황색
219,35,215,ko,보라색,마젠타
105,20,85,ko,자주색,자주색
116,74,202,ko,보라색,보라색
176,67,123,ko,자주색,자주색
51,158,95,ko,초록색,초록색
223,215,111,ko,노란색,연노란색
208,17,178,ko,자홍색,마젠타
65,77,147,ko,남색,남색
78,142,101,ko,초록색,청록색
135,76,7,ko,갈색,황갈색
21,73,161,ko,파란색,로얄 블루
182,19,54,ko,빨강,크림슨
234,254,54,ko,노란색,노란색
96,42,27,ko,갈색,밤색
165,244,192,ko,연두색,연초록색
177,24,144,ko,보라색,자주색
218,90,254,ko,보라색,보라색
185,216,189,ko,연두색,연두색
2,12,4,ko,검정,검정
137,196,108,ko,연두색,풀색
195,105,132,ko,분홍색,장미색
102,133,141,ko,청록색,청회색
127,15,51,ko,자주색,버건디색
160,67,208,ko,보라색,보라색
167,229,232,ko,하늘색,하늘색
18,226,215,ko,청록색,청록색
142,154,113,ko,연두색,올리브 그린
181,139,0,ko,머스타드색,겨자색
63,3,45,ko,자주색,가지색
3,229,199,ko,청록색,청록색
101,179,15,ko,연두색,라임색
102,66,102,ko,보라색,진보라색
149,253,108,ko,연두색,연두색
79,215,220,ko,청록색,청록색
181,233,91,ko,연두색,연두색
86,178,85,ko,초록색,초록색
143,211,198,ko,민트색,민트색
197,43,196,ko,자주색,자홍색
177,210,120,ko,연두색,연두색
205,32,35,ko,빨강,빨간색
198,120,174,ko,보라색,자주색
66,194,113,ko,초록색,초록색
178,67,134,ko,보라색,자주색
165,185,29,ko,연두색,연두색
85,78,2,ko,올리브색,국방색
108,61,10,ko,갈색,고동색
34,92,81,ko,청록색,짙은 청록색
254,188,48,ko,주황색,주황색
82,199,171,ko,민트색,청록색
44,134,19,ko,초록색,녹색
113,188,106,ko,연두색,초록색
146,125,26,ko,올리브색,올리브 그린
213,172,48,ko,노란색,겨자색
75,39,241,ko,보라색,울트라마린
207,194,188,ko,연회색,토프
0,73,169,ko,파란색,파란색
94,171,12,ko,연두색,연두색
239,191,48,ko,노란색,황금색
118,197,199,ko,청록색,아쿠아색
75,121,154,ko,청록색,회청색
248,142,239,ko,분홍색,분홍색
92,12,52,ko,버건디,자주색
153,19,218,ko,보라색,보라색
235,231,249,ko,연보라,연보라색
5,40,66,ko,남색,감청색
108,227,51,ko,연두색,연두색
142,113,71,ko,갈색,황갈색
234,140,230,ko,분홍색,분홍색
217,109,118,ko,분홍색,장미색
154,81,223,ko,보라색,보라색
252,246,45,ko,노란색,노란색
109,168,220,ko,하늘색,파란색
226,144,65,ko,주황색,황토색
57,152,75,ko,초록색,초록색
106,185,178,ko,청록색,청록색
186,59,0,ko,주황색,벽돌색
7,186,189,ko,청록색,청록색
176,120,89,ko,갈색,적갈색
90,54,76,ko,자주색,자주색
96,30,120,ko,보라색,보라색
192,77,56,ko,주황색,벽돌색
124,64,158,ko,보라색,보라색
233,17,146,ko,분홍색,마젠타
100,233,2,ko,연두색,라임색
108,87,130,ko,보라색,회보라색
103,80,47,ko,갈색,밤색
229,68,147,ko,분홍색,핫핑크
189,75,233,ko,보라색,보라색
249,7,219,ko,자홍색,마젠타색
59,94,23,ko,초록색,국방색
113,42,91,ko,자주색,자주색
211,200,191,ko,베이지,연회색
121,157,32,ko,초록색,올리브색
160,239,32,ko,연두색,연두색
24,163,169,ko,청록색,청록색
127,60,188,ko,보라색,보라색
48,180,111,ko,초록색,초록색
29,66,230,ko,파란색,파란색
165,61,97,ko,자주색,자주색
152,157,232,ko,연보라색,연보라색
170,85,112,ko,자주색,말린 장미색
121,126,4,ko,올리브색,올리브색
252,173,234,ko,분홍색,분홍색
174,147,84,ko,카키색,황갈색
103,250,83,ko,연두색,연두색
147,11,163,ko,보라색,보라색
42,136,184,ko,하늘색,파란색
149,117,175,ko,보라색,보라색
149,219,41,ko,연두색,연두색
130,20,77,ko,자주색,자주색
212,74,51,ko,주황색,적갈색
15,9,60,ko,남색,남색
136,71,123,ko,보라색,보라색
200,194,69,ko,노란색,연두색
228,56,232,ko,보라색,마젠타
224,209,101,ko,노란색,머스타드색
45,122,192,ko,파란색,파란색
120,33,59,ko,자주색,자주색
223,1,61,ko,빨간색,자홍색
186,53,130,ko,분홍색,자주색
189,106,156,ko,분홍색,자홍색
74,208,151,ko,민트색,민트색
26,183,212,ko,하늘색,터키색
2,171,152,ko,청록색,청록색
17,35,158,ko,파랑,파란색
185,188,7,ko,노란색,연두색
68,198,203,ko,청록색,터키색
20,234,125,ko,초록색,초록색
51,226,145,ko,초록색,연두색
213,103,56,ko,주황색,벽돌색
217,33,80,ko,분홍색,진홍색
175,233,122,ko,연두색,연두색
121,246,245,ko,청록색,아쿠아색
81,200,58,ko,연두색,라임색
104,213,211,ko,민트색,청록색
158,180,204,ko,파란색,회청색
22,204,183,ko,청록색,청록색
233,48,47,ko,빨강,빨강
251,65,190,ko,분홍색,핫핑크
204,196,108,ko,카키색,올리브색
195,222,30,ko,연두색,연두색
200,118,141,ko,분홍색,말린 장미색
76,138,182,ko,파란색,파란색
195,11,226,ko,자홍색,자주색
239,164,18,ko,주황색,주황색
92,228,228,ko,민트색,청록색
21,7,214,ko,파란색,파란색
227,148,164,ko,분홍색,분홍색
152,212,37,ko,연두색,연두색
34,160,243,ko,파란색,파란색
127,17,171,ko,보라색,보라색
9,16,115,ko,남색,남색
115,239,47,ko,연두색,연두색
58,208,73,ko,초록색,라임색
224,124,2,ko,주황색,주황색
28,129,107,ko,청록색,청록색
239,187,12,ko,노란색,황금색
50,40,128,ko,보라색,남보라색
2,22,20,ko,청록색,어두운 녹색
31,212,4,ko,초록색,초록색
97,109,167,ko,남색,청자색
17,191,94,ko,초록색,초록
50,1,165,ko,보라색,파란색
179,91,66,ko,갈색,벽돌색
71,57,68,ko,보라색,자주색
146,73,147,ko,보라색,보라색
131,178,232,ko,하늘색,하늘색
82,133,250,ko,파란색,파란색
78,211,168,ko,민트색,청록색
20,64,243,ko,파란색,파란색
241,93,206,ko,분홍색,분홍
43,141,204,ko,파랑,파란색
220,43,149,ko,분홍색,핫핑크
222,69,206,ko,자홍색,자홍색
36,190,147,ko,청록색,청록색
239,125,186,ko,분홍색,분홍색
152,222,94,ko,연두색,연두색
107,48,80,ko,자주색,자주색
230,109,34,ko,주황색,주황색
29,196,120,ko,초록색,초록
28,90,204,ko,파란색,파란색
7,249,157,ko,민트색,청록색
208,145,189,ko,분홍색,자주색
11,27,215,ko,파랑,파랑
26,140,125,ko,청록색,청록색
29,124,52,ko,초록색,녹색
68,220,144,ko,연두색,민트색
49,91,92,ko,청록색,짙은 청록색
102,81,167,ko,보라색,보라색
110,195,199,ko,청록색,청록색
212,191,25,ko,노란색,황금색
247,16,101,ko,분홍색,진분홍
172,93,173,ko,보라색,자주색
38,197,7,ko,초록색,초록색
126,142,133,ko,회색,옥색
26,77,112,ko,청록색,진한 파란색
144,36,149,ko,보라색,보라색
79,207,184,ko,민트색,청록색
21,96,225,ko,파랑,파랑
14,60,38,ko,초록색,진초록색
189,154,145,ko,분홍색,말린장미색
190,208,230,ko,연한 파란색,하늘색
44,225,209,ko,청록색,청록색
201,120,185,ko,분홍색,자주색
223,103,42,ko,주황색,주황색
112,205,200,ko,청록색,터키옥색
212,239,113,ko,연두색,연두색
161,48,50,ko,적갈색,버건디
139,134,207,ko,연보라,보라색
253,252,208,ko,연노랑,연노랑
92,180,225,ko,하늘색,하늘색
7,142,224,ko,파랑,파란색
157,185,186,ko,민트색,회청색
46,59,87,ko,남색,남색
81,228,69,ko,연두색,라임색
37,26,99,ko,남색,남색
111,7,141,ko,보라색,보라색
207,26,66,ko,빨강,진홍색
154,101,24,ko,갈색,갈색
54,45,159,ko,파란색,남색
28,130,223,ko,파란색,파란색
50,161,225,ko,하늘색,파란색
78,125,192,ko,파랑,파란색
241,13,160,ko,자홍색,핫핑크
26,49,3,ko,짙은 초록색,국방색
212,47,80,ko,빨강,자홍색
227,29,188,ko,자홍색,마젠타
162,250,35,ko,연두색,연두색
59,97,226,ko,파란색,파란색
71,230,114,ko,초록색,연두색
109,192,250,ko,하늘색,하늘색
15,118,227,ko,파란색,파란색
229,46,94,ko,분홍색,핫핑크
135,93,153,ko,보라색,보라색
185,255,113,ko,연두색,연두색
230,200,43,ko,노란색,노란색
96,110,228,ko,파란색,파란색
196,138,36,ko,주황색,황토색
219,16,216,ko,자홍색,마젠타
188,222,220,ko,연한 청록색,하늘색
235,63,136,ko,분홍색,핫핑크
125,98,96,ko,회갈색,팥색
194,11,180,ko,자홍색,자주색
96,80,245,ko,보라색,파란색
8,76,109,ko,청록색,청록색
148,148,224,ko,연보라,남보라색
152,99,244,ko,보라색,보라색
196,28,203,ko,자주색,마젠타
109,45,50,ko,적갈색,자주색
173,246,240,ko,민트색,하늘색
83,100,152,ko,남색,군청색
26,23,201,ko,파란색,파란색
114,138,251,ko,하늘색,제비꽃색
216,243,208,ko,연두색,연두색
178,84,139,ko,분홍색,자주색
135,177,251,ko,하늘색,하늘색
100,136,196,ko,파란색,파란색
166,188,252,ko,하늘색,연하늘색
236,252,151,ko,연두색,연노란색
54,111,164,ko,파란색,파란색
54,141,67,ko,초록색,초록색
139,220,26,ko,연두색,연두색
159,99,131,ko,분홍색,자주색
82,86,43,ko,올리브색,올리브색
69,58,233,ko,보라색,군청색
176,19,62,ko,적갈색,진홍색
85,140,159,ko,청록색,청회색
105,249,21,ko,연두색,연두색
185,25,234,ko,보라색,보라색
40,47,66,ko,남색,남색
223,79,19,ko,주황색,주황색
168,103,89,ko,분홍갈색,벽돌색
183,254,50,ko,연두색,라임색
151,232,249,ko,하늘색,하늘색
154,215,14,ko,연두색,연두색
104,36,230,ko,보라색,보라색
93,246,99,ko,연두색,연두색
108,38,8,ko,갈색,고동색
140,163,239,ko,연파랑,보랏빛 파랑
62,142,126,ko,청록색,청록색
1,84,74,ko,청록색,청록색
71,195,57,ko,초록색,연두색
51,207,168,ko,민트색,청록색
206,135,205,ko,보라색,연보라색
85,130,104,ko,초록색,쑥색
122,124,53,ko,카키색,올리브색
121,50,198,ko,보라색,보라색
152,4,154,ko,자주색,보라색
113,218,125,ko,연두색,연두색
198,84,53,ko,주황색,벽돌색
189,194,8,ko,황록색,연두색
244,16,64,ko,빨강,핫핑크
189,73,186,ko,보라색,자주색
179,117,184,ko,보라색,보라색
106,47,37,ko,갈색,밤색
121,18,218,ko,보라색,보라색
20,104,163,ko,파란색,파란색
191,77,240,ko,보라색,보라색
29,199,175,ko,청록색,청록
49,232,123,ko,초록색,초록색
6,76,190,ko,파랑,로얄블루
