r,g,b,lang_code,chatgpt,gemini
255,0,5,ko,빨강,빨간색
255,0,79,ko,분홍색,자홍색
185,255,0,ko,연두색,연두색
255,0,141,ko,분홍색,핫핑크
156,0,255,ko,보라색,보라색
255,0,54,ko,빨강,진홍색
255,0,247,ko,자홍색,마젠타
249,0,255,ko,자홍색,마젠타
169,0,255,ko,보라색,보라색
0,255,109,ko,초록색,연두색
0,209,255,ko,하늘색,하늘색
0,61,255,ko,파랑,파란색
184,255,0,ko,연두색,형광 라임색
15,0,255,ko,파랑,파랑
0,255,158,ko,민트색,청록색
0,255,52,ko,초록색,초록색
0,255,209,ko,청록색,청록색
255,173,0,ko,주황색,주황색
255,0,90,ko,분홍색,핫핑크
0,255,31,ko,초록색,초록색
0,255,226,ko,청록색,시안
255,0,16,ko,빨간색,빨간색
255,0,218,ko,자홍색,마젠타
192,255,0,ko,연두색,연두색
255,0,140,ko,분홍색,핑크
255,0,186,ko,자홍색,핑크
255,0,38,ko,빨강,빨간색
255,45,0,ko,주황색,다홍색
50,0,255,ko,파랑,파란색
0,235,255,ko,청록색,시안
0,71,255,ko,파랑,파란색
33,0,255,ko,파랑,파랑
255,233,0,ko,노란색,노란색
255,0,161,ko,분홍색,핫핑크
217,0,255,ko,보라색,마젠타
110,255,0,ko,연두색,연두색
36,0,255,ko,파랑,파란색
0,255,127,ko,연두색,초록색
232,255,0,ko,노란색,노란색
87,255,0,ko,연두색,형광 초록색
150,0,255,ko,보라색,보라색
47,255,0,ko,연두색,초록색
255,0,225,ko,자홍색,마젠타
255,0,178,ko,자홍색,자홍색
0,255,112,ko,연두색,초록색
234,255,0,ko,노란색,노란색
188,255,0,ko,연두색,라임색
255,159,0,ko,주황색,주황색
255,152,0,ko,주황색,주황색
0,216,255,ko,하늘색,청록색
255,50,0,ko,주황색,다홍
255,30,0,ko,빨간색,빨강
176,0,255,ko,보라색,보라색
0,183,255,ko,하늘색,파란색
255,0,185,ko,자홍색,핫핑크
0,255,110,ko,형광초록,초록색
194,0,255,ko,보라색,마젠타색
255,186,0,ko,주황색,주황색
0,255,145,ko,청록색,청록색
39,0,255,ko,파랑,파란색
255,0,217,ko,마젠타,마젠타
0,27,255,ko,파랑,파랑
255,216,0,ko,노란색,노란색
16,255,0,ko,초록색,형광 연두색
255,236,0,ko,노란색,노란색
76,0,255,ko,보라색,군청색
255,82,0,ko,주황색,주황색
0,164,255,ko,하늘색,파란색
0,159,255,ko,하늘색,파란색
255,0,181,ko,자홍색,마젠타
255,0,144,ko,자홍색,핫핑크
220,255,0,ko,연두색,형광 노랑
0,211,255,ko,하늘색,하늘색
255,0,0,ko,빨강,빨간색
239,0,255,ko,자홍색,마젠타
0,255,67,ko,초록색,초록색
255,0,127,ko,분홍색,핫핑크
76,255,0,ko,연두색,초록색
233,255,0,ko,노란색,노랑
0,55,255,ko,파란색,파란색
28,255,0,ko,초록색,초록색
222,255,0,ko,라임색,노란색
255,0,232,ko,자홍색,자홍색
0,197,255,ko,하늘색,하늘색
204,255,0,ko,라임색,연두색
255,0,205,ko,자홍색,마젠타
255,236,0,ko,노란색,노란색
255,0,164,ko,분홍색,핫핑크
43,0,255,ko,파란색,청색
0,255,241,ko,청록색,청록색
0,206,255,ko,하늘색,하늘색
97,0,255,ko,보라색,보라색
255,0,63,ko,빨간색,핫핑크
0,57,255,ko,파랑,파란색
255,0,28,ko,빨강,빨강
255,149,0,ko,주황색,주황색
255,0,155,ko,분홍색,핫핑크
255,0,156,ko,자홍색,핫핑크
255,41,0,ko,주황색,다홍색
52,0,255,ko,파랑,파란색
116,255,0,ko,연두색,라임색
255,141,0,ko,주황색,주황색
19,255,0,ko,연두색,초록색
79,255,0,ko,연두색,초록색
255,55,0,ko,주황색,주황색
0,122,255,ko,파랑,파랑
245,255,0,ko,노란색,노란색
255,180,0,ko,주황색,주황색
198,255,0,ko,연두색,연두색
255,222,0,ko,노란색,노란색
0,255,115,ko,연두색,형광 초록색
0,32,255,ko,파랑,파란색
255,0,49,ko,빨강,빨강
255,77,0,ko,주황색,주황색
0,255,41,ko,초록색,라임색
0,255,162,ko,민트색,청록색
16,0,255,ko,파랑,파란색
31,255,0,ko,연두색,초록색
0,75,255,ko,파란색,파란색
88,255,0,ko,연두색,연두색
255,133,0,ko,주황색,주황색
0,38,255,ko,파랑,파랑
0,255,145,ko,형광 초록,청록색
255,0,72,ko,분홍색,마젠타
226,0,255,ko,보라색,마젠타
0,24,255,ko,파랑,파랑
0,226,255,ko,하늘색,시안
252,255,0,ko,노랑,노란색
81,255,0,ko,연두색,형광 연두색
255,48,0,ko,주황색,다홍
255,201,0,ko,노란색,노란색
88,255,0,ko,연두색,초록색
255,201,0,ko,노란색,노란색
255,0,93,ko,자홍색,핫핑크
8,255,0,ko,연두색,초록색
0,200,255,ko,하늘색,하늘색
210,255,0,ko,형광 연두색,라임색
52,255,0,ko,연두색,라임색
56,0,255,ko,파랑,파란색
0,151,255,ko,파랑,파란색
45,255,0,ko,연두색,초록색
255,0,78,ko,분홍색,핫핑크
0,46,255,ko,파랑,파란색
55,0,255,ko,파란색,파란색
28,255,0,ko,초록색,초록
0,255,135,ko,초록색,청록색
51,255,0,ko,연두색,형광 초록
255,0,202,ko,자홍색,핫핑크
255,25,0,ko,빨간색,빨간색
255,0,43,ko,빨간색,빨간색
255,0,31,ko,빨강,빨간색
0,255,82,ko,형광초록,형광 초록
255,253,0,ko,노란색,노란색
255,236,0,ko,노란색,노란색
0,255,237,ko,청록색,시안색
255,19,0,ko,빨강,빨간색
70,0,255,ko,보라색,파랑
0,214,255,ko,하늘색,하늘색
255,243,0,ko,노란색,노란색
0,172,255,ko,파랑,하늘색
255,151,0,ko,주황색,주황색
86,0,255,ko,보라색,울트라마린
247,255,0,ko,노란색,노란색
0,255,212,ko,청록색,청록색
215,255,0,ko,연두색,연두색
0,110,255,ko,파란색,파란색
0,165,255,ko,하늘색,하늘색
78,255,0,ko,연두색,라임색
0,146,255,ko,파란색,파란색
255,65,0,ko,주황색,주황색
0,255,100,ko,초록색,연두색
255,126,0,ko,주황색,주황색
255,0,59,ko,분홍색,빨강
0,255,135,ko,초록색,초록색
0,88,255,ko,파란색,파란색
255,53,0,ko,주황색,다홍색
0,255,18,ko,연두색,라임색
0,255,84,ko,초록색,라임색
179,0,255,ko,보라색,보라색
0,255,33,ko,연두색,초록색
0,255,173,ko,민트색,민트색
255,0,187,ko,자홍색,마젠타
255,13,0,ko,빨강,빨간색
0,255,223,ko,청록색,청록색
255,0,217,ko,자홍색,마젠타
35,0,255,ko,파랑,파란색
0,67,255,ko,파랑,파란색
0,195,255,ko,하늘색,파란색
255,55,0,ko,주황색,주황색
255,245,0,ko,노란색,노랑
0,255,124,ko,초록색,형광 초록색
65,255,0,ko,연두색,연두색
181,255,0,ko,연두색,연두색
255,0,23,ko,빨강,빨간색
255,113,0,ko,주황색,주황색
0,201,255,ko,하늘색,하늘색
0,255,67,ko,연두색,라임색
255,99,0,ko,주황색,주황색
228,0,255,ko,자홍색,마젠타
255,0,159,ko,자홍색,핫핑크
0,255,122,ko,민트색,라임색
214,255,0,ko,연두색,형광 노란색
255,110,0,ko,주황색,주황색
229,255,0,ko,노란색,형광 노란색
255,0,152,ko,자홍색,핫핑크
0,255,85,ko,연두색,형광 초록색
0,255,5,ko,초록색,초록색
12,0,255,ko,파랑,파란색
0,255,194,ko,청록색,청록색
0,0,255,ko,파랑,파랑
255,180,0,ko,주황색,주황색
0,51,255,ko,파랑,파란색
111,0,255,ko,보라색,보라색
200,255,0,ko,연두색,형광 연두색
255,0,147,ko,자홍색,핫핑크
255,0,155,ko,자홍색,핫핑크
0,8,255,ko,파란색,파란색
0,55,255,ko,파랑,파란색
255,187,0,ko,주황색,주황색
0,71,255,ko,파랑,파란색
239,0,255,ko,자주색,마젠타
255,82,0,ko,주황색,주황색
255,0,41,ko,빨강,빨간색
255,0,146,ko,분홍색,핫핑크
0,255,245,ko,청록색,청록색
86,255,0,ko,연두색,연두색
247,255,0,ko,노란색,노란색
0,226,255,ko,하늘색,시안
255,0,84,ko,분홍색,핫핑크
135,255,0,ko,연두색,라임색
0,192,255,ko,하늘색,청록색
255,234,0,ko,노란색,노란색
0,20,255,ko,파랑,파란색
0,255,248,ko,청록색,시안
255,0,104,ko,자홍색,핫핑크
255,65,0,ko,주황색,주황
255,0,6,ko,빨강,빨강
255,0,103,ko,분홍색,핫핑크
0,255,159,ko,민트색,청록색
166,255,0,ko,형광연두,연두색
255,0,74,ko,분홍색,핫핑크
99,0,255,ko,보라색,보라색
255,0,30,ko,빨강,빨강
255,130,0,ko,주황색,주황색
0,127,255,ko,파랑,파란색
0,255,214,ko,청록색,시안
0,15,255,ko,파랑,파란색
178,0,255,ko,보라색,보라색
20,0,255,ko,파랑,파란색
255,0,112,ko,분홍색,핫핑크
205,0,255,ko,보라색,보라색
0,127,255,ko,파란색,파란색
237,0,255,ko,자홍색,마젠타
0,209,255,ko,하늘색,시안색
255,107,0,ko,주황색,주황색
255,18,0,ko,빨강,빨간색
210,0,255,ko,보라색,마젠타
255,0,83,ko,분홍색,핫핑크
0,92,255,ko,파랑,파란색
108,0,255,ko,보라색,보라색
108,255,0,ko,연두색,라임색
46,255,0,ko,연두색,연두색
255,183,0,ko,주황색,주황색
113,0,255,ko,보라색,바이올렛
0,255,198,ko,민트색,청록색
255,187,0,ko,주황색,황금색
255,244,0,ko,노란색,노란색
255,0,254,ko,자홍색,마젠타
0,211,255,ko,하늘색,시안색
128,0,255,ko,보라색,보라색
0,255,240,ko,청록색,시안색
173,255,0,ko,연두색,연두색
255,107,0,ko,주황색,주황색
25,0,255,ko,파랑,파랑
0,255,18,ko,연두색,초록색
215,255,0,ko,형광노랑,라임색
255,213,0,ko,노란색,노란색
255,91,0,ko,주황색,주황색
0,255,180,ko,민트색,터키색
255,73,0,ko,주황색,주황색
0,156,255,ko,하늘색,파란색
0,95,255,ko,파란색,파랑
0,255,245,ko,청록색,시안
230,0,255,ko,자홍색,마젠타
110,255,0,ko,연두색,연두색
161,255,0,ko,연두색,연두색
