r,g,b,lang_code,chatgpt,gemini
141,115,253,zh,紫色,紫色
168,196,213,zh,蓝色,浅蓝色
26,176,189,zh,青色,绿松石色
142,45,55,zh,棕红色,酒红色
24,223,175,zh,绿色,青色
235,237,32,zh,黄色,黄色
7,253,74,zh,绿色,绿色
207,184,57,zh,黄色,金黄色
167,115,187,zh,紫色,紫色
13,209,168,zh,绿色,青色
164,245,143,zh,浅绿色,浅绿色
165,103,82,zh,棕色,陶土色
234,15,228,zh,品红,品红色
73,100,140,zh,蓝色,灰蓝色
237,215,159,zh,米黄色,米色
244,159,117,zh,橙色,蜜桃色
179,169,15,zh,黄绿色,橄榄绿
44,179,10,zh,绿色,绿色
218,156,73,zh,橙色,焦糖色
36,83,24,zh,绿色,深绿色
251,26,155,zh,粉色,玫红色
45,200,182,zh,青绿色,松石绿
200,153,172,zh,粉色,藕粉色
122,102,100,zh,棕色,豆沙色
110,63,25,zh,棕色,棕色
152,33,57,zh,暗红色,酒红色
145,156,224,zh,蓝色,淡紫色
172,91,127,zh,紫红色,洋红色
243,99,127,zh,粉色,玫红色
243,75,209,zh,粉色,洋红色
4,194,254,zh,蓝色,天蓝色
141,248,147,zh,绿色,浅绿色
6,223,107,zh,绿色,绿色
193,162,58,zh,黄色,土黄色
133,33,221,zh,紫色,紫色
13,220,86,zh,绿色,绿色
255,104,20,zh,橙色,橙色
254,231,108,zh,黄色,黄色
243,59,148,zh,粉色,玫红色
10,155,254,zh,蓝色,蓝色
60,60,19,zh,橄榄绿,橄榄绿
194,111,213,zh,紫色,紫色
168,87,129,zh,紫红色,洋红色
139,147,107,zh,橄榄绿,橄榄绿
154,21,230,zh,紫色,紫色
140,68,103,zh,紫红色,紫红色
220,61,141,zh,粉色,玫红色
178,207,113,zh,浅绿色,黄绿色
191,68,84,zh,红色,砖红色
54,241,7,zh,绿色,绿色
118,130,121,zh,灰色,灰绿色
28,27,166,zh,蓝色,蓝色
73,251,20,zh,绿色,绿色
22,183,247,zh,蓝色,天蓝色
131,70,14,zh,棕色,棕色
63,118,235,zh,蓝色,蓝色
142,228,205,zh,浅绿色,薄荷绿
201,133,9,zh,橙色,橘黄色
151,213,30,zh,黄绿色,柠檬绿
124,175,205,zh,浅蓝色,灰蓝色
10,168,152,zh,青绿色,水鸭色
15,92,26,zh,绿色,深绿色
235,124,239,zh,粉色,浅紫色
46,217,171,zh,绿色,青色
68,136,209,zh,蓝色,蓝色
106,93,219,zh,紫色,紫色
116,135,90,zh,卡其色,橄榄绿
119,86,240,zh,紫色,紫色
140,131,187,zh,紫色,紫色
159,196,131,zh,浅绿色,鼠尾草绿
251,121,251,zh,粉色,粉色
184,195,221,zh,浅蓝色,淡蓝色
29,21,170,zh,蓝色,深蓝色
253,53,167,zh,粉色,玫红色
227,113,26,zh,橙色,橙色
126,24,149,zh,紫色,紫色
123,77,238,zh,紫色,紫色
128,153,59,zh,绿色,橄榄绿
198,174,14,zh,黄色,金黄色
43,126,83,zh,绿色,深绿色
186,23,144,zh,洋红,品红
173,139,30,zh,金色,土黄色
15,149,1,zh,绿色,绿色
33,25,193,zh,蓝色,蓝色
226,229,215,zh,浅绿色,灰绿色
40,106,162,zh,蓝色,宝蓝色
150,247,106,zh,浅绿色,荧光绿
73,32,183,zh,紫色,紫色
78,212,65,zh,绿色,绿色
62,100,120,zh,蓝色,黛蓝色
22,26,57,zh,深蓝色,深蓝色
0,174,62,zh,绿色,绿色
229,171,112,zh,橙色,蜜桃色
82,88,49,zh,橄榄绿,橄榄绿
155,5,163,zh,紫色,紫色
237,210,194,zh,肤色,杏色
53,126,132,zh,青绿色,蓝绿色
22,120,79,zh,绿色,绿色
186,105,93,zh,棕色,砖红色
138,100,249,zh,紫色,紫色
251,67,63,zh,红色,橘红色
222,163,225,zh,粉色,淡紫色
54,51,228,zh,蓝色,蓝色
195,194,145,zh,卡其色,黄绿色
39,55,190,zh,蓝色,蓝色
107,16,38,zh,酒红色,酒红色
150,100,28,zh,棕色,焦糖色
90,160,214,zh,蓝色,蓝色
219,210,50,zh,黄色,黄色
8,210,197,zh,青绿色,青色
109,124,199,zh,蓝色,蓝紫色
24,69,148,zh,蓝色,蓝色
232,1,233,zh,品红,洋红色
232,69,107,zh,粉红色,玫红色
162,71,116,zh,紫红色,紫红色
44,115,88,zh,绿色,墨绿色
155,88,11,zh,棕色,褐色
185,31,60,zh,红色,红色
40,98,9,zh,绿色,深绿色
108,59,209,zh,紫色,紫色
16,234,199,zh,青绿色,青绿色
64,229,174,zh,绿色,青色
117,138,5,zh,黄绿色,橄榄绿
211,218,2,zh,黄色,黄绿色
128,42,67,zh,紫红色,酒红色
156,250,62,zh,荧光绿,黄绿色
143,108,164,zh,紫色,紫色
218,44,30,zh,红色,红色
97,83,152,zh,紫色,紫色
165,205,183,zh,浅绿色,薄荷绿
209,138,118,zh,粉橙色,肉桂色
17,101,231,zh,蓝色,蓝色
10,234,163,zh,青绿色,绿色
135,149,200,zh,淡紫色,蓝紫色
214,196,41,zh,黄色,芥末黄
238,48,31,zh,红色,红色
64,255,119,zh,绿色,鲜绿
0,190,80,zh,绿色,绿色
64,105,181,zh,蓝色,蓝色
116,28,103,zh,紫色,紫色
134,253,151,zh,浅绿色,浅绿色
15,94,170,zh,蓝色,宝蓝色
104,160,224,zh,蓝色,蓝色
209,220,114,zh,黄色,黄绿色
10,22,80,zh,蓝色,藏青色
243,109,103,zh,珊瑚红,珊瑚红
121,82,159,zh,紫色,紫色
47,243,139,zh,绿色,翠绿
151,74,147,zh,紫色,品红色
92,99,79,zh,灰绿色,军绿色
61,23,224,zh,紫色,蓝紫色
4,57,47,zh,深绿色,墨绿色
203,90,216,zh,紫色,紫色
51,170,86,zh,绿色,绿色
194,205,157,zh,浅绿色,鼠尾草绿
21,73,196,zh,蓝色,蓝色
166,58,237,zh,紫色,紫色
208,165,12,zh,黄色,金黄色
165,189,35,zh,黄绿色,黄绿色
139,134,43,zh,黄色,橄榄绿
170,227,38,zh,黄绿色,柠檬绿
243,171,248,zh,粉色,紫粉色
130,242,164,zh,绿色,浅绿色
128,25,137,zh,紫色,紫色
